polynomial C1 ^ .5,145,-0.126,-0.042,-0.026,0,0.176,-0.016,-0.063,-0.021,-0.013,0,0.088,-0.008
basic latent features,141,-0.149,0,0,0.027,0.131,0.014,-0.074,0,0,0.014,0.066,0.007
just random,142,0,0,0,0,0.02,0.002,0,0,0,0,0.01,0.001
polynomial C1 t C2,145,-0.115,0,0,0.012,0.179,0.011,-0.058,0,0,0.006,0.09,0.006
polynomial C1 ^ C2,143,-0.173,0,0,0,0.197,-0.011,-0.086,0,0,0,0.098,-0.005
polynomial C1 t C2 t C3,145,-0.294,-0.003,0,0,0.029,-0.005,-0.147,-0.002,0,0,0.014,-0.003
mean subtraction in each row,144,-0.055,0,0,0.013,0.137,0.013,-0.027,0,0,0.007,0.068,0.006
median subtraction in each row,145,-0.092,0,0,0,0.15,0.003,-0.046,0,0,0,0.075,0.001
smoothed switches between -C2-C3 & C2+C3 based on C1,145,-0.117,-0.035,0,0,0.103,-0.012,-0.058,-0.018,0,0,0.052,-0.006
Spread thinly,144,-0.07,-0.001,0,0.004,0.13,0.001,-0.035,-0.001,0,0.002,0.065,0
C1^-C2,143,-0.13,0,0,0.011,0.239,0.016,-0.065,0,0,0.006,0.12,0.008
1dC1,143,-0.074,0,0,0.038,0.4,0.038,-0.037,0,0,0.019,0.2,0.019
colinerity unnecessary,138,-0.039,0,0,0.003,0.067,0.005,-0.019,0,0,0.002,0.033,0.002
switches between C2 & -C2 based on C1,144,-0.056,0,0.002,0.042,0.297,0.025,-0.028,0,0.001,0.022,0.148,0.013
polynomial C1 ^ 2,145,-0.095,0,0.004,0.057,0.277,0.037,-0.048,0,0.002,0.028,0.138,0.019
colinerity middle is correct,145,-0.089,-0.003,0.007,0.016,0.117,0.009,-0.044,-0.002,0.003,0.008,0.058,0.004
log(C1),144,-0.058,-0.002,0.012,0.04,0.371,0.026,-0.029,-0.002,0.006,0.02,0.186,0.013
polynomial C1 t C2 t C3^1d3,144,-0.12,0,0.014,0.082,0.236,0.036,-0.06,0,0.008,0.04,0.118,0.018
partial friedman sin(C2),146,-0.016,0.004,0.016,0.027,0.17,0.021,-0.008,0.002,0.008,0.014,0.085,0.011
switches between 1 & -1 based on C1,145,-0.421,0,0.018,0.071,0.465,0.056,-0.21,0,0.009,0.036,0.232,0.028
noise in predictors,143,-0.047,0.006,0.018,0.029,0.103,0.02,-0.024,0.003,0.009,0.014,0.052,0.01
switches between C1 & C2 based on C1,144,-0.06,0,0.018,0.068,0.288,0.04,-0.03,0,0.01,0.034,0.144,0.02
switches between C2+C3 & C4+C5 based on C1,144,-0.054,0,0.024,0.068,0.293,0.043,-0.027,0,0.012,0.034,0.147,0.021
switches between -C2-C3 & C2+C3 based on C1,144,-0.017,0.035,0.072,0.135,0.405,0.091,-0.008,0.017,0.036,0.068,0.202,0.045
randomly switches between C1 & C2,145,-0.04,0.027,0.078,0.111,0.504,0.09,-0.02,0.013,0.039,0.056,0.252,0.045
outliers,144,-0.112,0.12,0.169,0.268,0.565,0.189,-0.056,0.06,0.084,0.134,0.282,0.094
switches between C3 & C2 on C4g1.5,142,-0.001,0.198,0.22,0.265,0.541,0.228,0,0.099,0.11,0.132,0.27,0.114
polynomial C1 ^ -2,142,0,0,0.431,0.441,0.455,0.238,0,0,0.216,0.22,0.228,0.119
