just random,0,0.002,0.015,0.127,106,0.044,0.022
median subtraction in each row,0,0.04,0.041,0.129,110,0.092,0.076
polynomial C1 t C2 t C3,0,0.037,0.052,0.19,109,0.13,0.1
polynomial C1 ^ C2,0,0,0.066,0.388,107,0.295,0.097
polynomial C1 ^ -2,0,0,0.035,0.474,108,0,0
switches between C2+C3 & C4+C5 based on C1,0,0.237,0.218,0.476,110,0.367,0.31
randomly switches between C1 & C2,0,0.2425,0.243,0.48,108,0.36,0.308
smoothed switches between -C2-C3 & C2+C3 based on C1,0,0.0125,0.086,0.49,110,0.267,0.13
C1^-C2,0,0,0.035,0.52,109,0.131,0
noise in predictors,0,0.674,0.54,0.779,109,0.761,0.734
switches between C3 & C2 on C4g1.5,0,0.393,0.424,0.804,109,0.666,0.54
colinerity middle is correct,0,0.7645,0.638,0.815,108,0.804,0.797
polynomial C1 t C2 t C3^1d3,0,0,0.076,0.853,109,0.275,0.064
switches between -C2-C3 & C2+C3 based on C1,0,0.054,0.115,0.853,109,0.322,0.19
outliers,0,0.167,0.221,0.864,109,0.554,0.391
switches between C2 & -C2 based on C1,0,0.202,0.25,0.923,109,0.544,0.37
1dC1,0,0,0.107,0.943,108,0.468,0.105
polynomial C1 ^ 2,0,0.175,0.362,0.959,109,0.902,0.692
log(C1),0,0.516,0.542,0.979,108,0.88,0.736
partial friedman sin(C2),0,0.633,0.665,0.979,111,0.94,0.859
polynomial C1 ^ .5,0,0.811,0.727,0.985,109,0.934,0.875
polynomial C1 t C2,0,0.01,0.103,0.999,109,0.285,0.106
mean subtraction in each row,0,0.258,0.478,0.999,109,0.999,0.999
Spread thinly,0,0.662,0.583,0.999,106,0.999,0.998
switches between C1 & C2 based on C1,0,0.324,0.335,1,110,0.678,0.511
basic latent features,0,0.966,0.798,1,109,1,1
switches between 1 & -1 based on C1,0,0.479,0.617,1,109,1,0.95
colinerity unnecessary,0,0.9445,0.728,1,104,1,1
