random,0,0.003,0.021,0.06,3,0.049,0.032
ifs nested 2 layer,0,0.004,0.024,0.124,114,0.09,0.033
poly C1 t C2 t C3,0,0,0.019,0.203,116,0.071,0.029
composite 2,0,0.15,0.138,0.266,118,0.253,0.227
composite 1,0,0.169,0.137,0.285,117,0.227,0.213
sparsity 20,0,0,0.015,0.305,114,0.036,0
needles hay noise,0,0.152,0.131,0.329,11,0.234,0.174
median subtraction in each row,0,0.0085,0.027,0.364,116,0.064,0.043
sparsity NA,0,0.099,0.128,0.388,19,0.242,0.184
bm C1 ^ -2,0,0.407,0.247,0.54,115,0.454,0.432
ifs C2+C3 & C4+C5 on C1,0,0.2325,0.214,0.542,118,0.295,0.264
ifs smooth -C2-C3&C2+C3 onC1,0,0.044,0.095,0.551,117,0.273,0.129
poly C1 ^ C2,0,0,0.08,0.568,116,0.258,0.13
sparsity 0,0,0.454,0.351,0.573,117,0.545,0.51
noise in predictors,0,0.638,0.495,0.724,120,0.711,0.68
poly C1 t C2 t C3^1d3,0,0.001,0.084,0.781,113,0.292,0.062
rescale 4 poly,0,0.414,0.417,0.785,116,0.562,0.455
colinerity middle is correct,0,0.769,0.598,0.804,117,0.793,0.786
ifs -C2-C3 & C2+C3 on C1,0,0.17,0.175,0.834,115,0.311,0.201
poly C1 t C2,0,0.006,0.097,0.84,112,0.256,0.136
ifs C1&C2 on random,0,0.324,0.334,0.848,117,0.506,0.428
bm log(C1),0,0.484,0.478,0.859,116,0.731,0.557
ifs C2 & C3t2 on C4g1.5,0,0.484,0.449,0.894,118,0.576,0.533
rescale isotonic addition,0,0.847,0.669,0.924,117,0.883,0.88
rescale isotonic addition ran bin,0,0.854,0.672,0.932,117,0.912,0.89
bm 1dC1,0,0,0.087,0.945,116,0.306,0.071
quantilization,0,0.8685,0.792,0.964,118,0.94,0.902
bm C1 ^ .5,0,0.744,0.636,0.986,119,0.936,0.793
ifs C1 & C2 on C1,0,0.12,0.22,0.991,115,0.515,0.362
bm C1 ^ 2,0,0.089,0.323,0.991,114,0.908,0.747
bm sin(C2),0,0.746,0.75,0.993,118,0.966,0.923
Spread thinly,0,0.927,0.634,0.998,117,0.998,0.998
needles in haystack,0,0.001,0.201,0.999,80,0.878,0.185
mean subtraction in each row,0,0.42,0.511,0.999,115,0.999,0.996
ifs C2 & -C2 on C1,0,0.0585,0.127,1,114,0.336,0.153
outliers,0,0.5735,0.513,1,106,0.687,0.621
basic latent features,0,0.9675,0.822,1,114,1,1
ifs 1 & -1 on C1,0,0.2245,0.409,1,114,1,0.87
colinerity unnecessary,0,0.9505,0.729,1,116,1,1
composite complete,0,0.946,0.666,1,116,1,1
