ifs 1 & -1 on C1,74,-0.275,-0.148,-0.112,0,0.301,-0.072,-1,-1,-0.55,0,0.578,-0.496
ifs C2+C3 & C4+C5 on C1,74,-0.171,-0.078,-0.061,-0.015,0.128,-0.044,-1,-0.173,-0.159,-0.042,0.31,-0.137
composite 2,76,-0.081,-0.055,-0.044,0,0,-0.033,-1,-1,-0.494,0,0,-0.516
ifs smooth -C2-C3&C2+C3 onC1,74,-0.226,-0.069,-0.043,0,0.107,-0.044,-1,-0.419,-0.271,0,0.362,-0.277
composite 1,76,-0.086,-0.052,-0.042,-0.016,0.03,-0.034,-1,-0.202,-0.158,-0.051,0.103,-0.191
needles in haystack,8,-0.081,-0.054,-0.026,0,0,-0.03,-1,-0.43,-0.024,0,0,-0.238
bm C1 ^ .5,10,-0.072,-0.064,-0.02,0.028,0.044,-0.019,-1,-0.057,-0.014,0.057,0.086,-0.098
noise in predictors,10,-0.018,-0.013,-0.01,0.003,0.01,-0.005,-0.037,-0.013,-0.007,0.002,0.02,-0.006
median subtraction in each row,9,-0.051,-0.021,-0.001,0.001,0.023,-0.011,-1,-1,-0.381,0.091,1,-0.325
sparsity 20,10,-0.033,-0.015,-0.001,0.011,0.012,-0.004,-1,-0.429,-0.038,0.098,0.126,-0.188
basic latent features,11,-0.001,0,0,0.138,0.174,0.057,-0.001,0,0,0.244,0.289,0.097
bm C1 ^ 2,9,-0.118,-0.076,0,0,0.094,-0.021,-1,-0.521,0,0,0.1,-0.318
bm C1 ^ -2,72,-0.007,0,0,0,0,0,-1,0,0,0,0,-0.028
bm 1dC1,9,0,0,0,0,0.105,0.014,0,0,0,0,1,0.222
poly C1 t C2,10,-0.002,0,0,0.017,0.056,0.01,-1,0,0,1,1,0.261
poly C1 ^ C2,74,-0.211,-0.012,0,0,0.212,-0.023,-1,-0.024,0,0,1,-0.191
poly C1 t C2 t C3,73,-0.049,0,0,0,0.072,0,-1,0,0,0,1,-0.068
poly C1 t C2 t C3^1d3,9,-0.076,0,0,0,0,-0.011,-1,0,0,0,0,-0.154
ifs C2 & -C2 on C1,74,-0.04,-0.014,0,0.038,0.222,0.024,-0.75,-0.047,0,0.101,1,0.048
ifs nested 2 layer,74,-0.005,0,0,0,0.051,0.005,-1,0,0,0,1,0.13
rescale 4 poly,74,-0.411,-0.032,0,0,0.303,-0.025,-1,-0.035,0,0,1,-0.087
outliers,73,-0.041,-0.018,0,0.085,0.589,0.049,-0.068,-0.02,0,0.097,1,0.095
colinerity unnecessary,10,-0.002,-0.001,0,0.08,0.129,0.034,-0.001,-0.001,0,0.169,0.239,0.065
Spread thinly,10,-0.072,-0.001,0,0.056,0.063,0.011,-0.522,-0.001,0,0.087,0.097,-0.024
composite complete,74,-0.124,-0.003,0,0,0.117,0.001,-1,-0.002,0,0,0.22,-0.03
rescale isotonic addition,10,-0.001,0,0.003,0.094,0.106,0.033,-0.001,0,0.002,0.164,0.178,0.054
rescale isotonic addition ran bin,10,-0.003,-0.001,0.004,0.093,0.106,0.037,-0.002,-0.001,0.002,0.171,0.187,0.06
mean subtraction in each row,10,0,0,0.006,0.163,0.163,0.058,0,0,0.003,0.243,0.243,0.09
colinerity middle is correct,10,-0.005,0,0.014,0.034,0.092,0.022,-0.003,0,0.008,0.051,0.086,0.025
sparsity NA,2,0,0,0.014,0.028,0.028,0.014,0,0,0.034,0.068,0.068,0.034
quantilization,9,0.008,0.016,0.023,0.064,0.076,0.036,0.005,0.009,0.013,0.096,0.112,0.042
ifs -C2-C3 & C2+C3 on C1,74,-0.01,0,0.044,0.086,0.319,0.051,-0.143,0,0.16,0.551,1,0.31
sparsity 0,10,-0.012,-0.005,0.046,0.069,0.112,0.043,-0.062,-0.023,0.067,0.093,0.258,0.06
needles hay noise,8,0,0.03,0.048,0.065,0.107,0.049,0,0.048,0.124,0.608,1,0.32
ifs C2 & C3t2 on C4g1.5,74,0,0.038,0.06,0.15,0.494,0.103,0,0.055,0.08,0.204,1,0.158
bm log(C1),10,0,0.067,0.088,0.141,0.189,0.1,0,0.119,0.181,0.631,0.687,0.32
ifs C1&C2 on random,73,-0.005,0.071,0.093,0.127,0.379,0.1,-0.048,0.088,0.104,0.18,1,0.142
bm sin(C2),9,0.011,0.035,0.103,0.159,0.167,0.09,0.007,0.024,0.073,0.234,0.244,0.105
ifs C1 & C2 on C1,74,-0.02,0.127,0.186,0.207,0.35,0.157,-0.064,0.195,0.493,0.945,1,0.512
