dnn,0,0,0,0,17,0,0,0
krlsPoly,0.004,0,0,0.0793269230769231,17,0,0,0.018
WM,0.041,0,0,0.278118609406953,17,0,0.042,0.21
qrf,0.124,0,0,1,17,0.008,0.128,0.447
rpart1SE,0.16,0,0,1,17,0.312,0.378,0.491
rpart,0.15,0,0,1,17,0.129,0.389,0.501
pcr,0.144,0,0,0.679245283018868,17,0.362,0.412,0.601
evtree,0.18,0,0,0.884745762711864,17,0.42,0.49,0.647
rpart2,0.149,0,0.035,1,17,0.215,0.317,0.458
ppr,0.164,0,0.0456730769230769,0.995,17,0.32,0.368,0.503
bridge,0.192,0,0.0498960498960499,0.999,17,0.43,0.541,0.664
superpc,0.238,0,0.056,1,33,0.649,0.891,0.974
icr,0.178,0,0.0575539568345324,1,17,0.312,0.528,0.619
elm,0.123,0,0.0673854447439353,1,17,0.211,0.286,0.361
leapSeq,0.196,0,0.0977130977130977,1,17,0.438,0.548,0.681
ctree2,0.162,0,0.113,1,17,0.192,0.31,0.51
kernelpls,0.178,0,0.114519427402863,1,17,0.382,0.484,0.625
SBC,0.109,0,0.127450980392157,0.71,17,0.328,0.426,0.533
bagEarthGCV,0.196,0,0.13,1,17,0.279,0.484,0.586
bayesglm,0.185,0,0.130977130977131,1,17,0.422,0.445,0.619
glm,0.185,0,0.130977130977131,1,17,0.422,0.445,0.619
lm,0.185,0,0.130977130977131,1,17,0.422,0.445,0.619
simpls,0.178,0,0.13189448441247,1,17,0.381,0.483,0.602
widekernelpls,0.184,0,0.13189448441247,1,17,0.382,0.484,0.617
foba,0.214,0,0.136690647482014,1,17,0.409,0.602,0.703
gbm,0.215,0,0.137,0.805288461538462,17,0.511,0.673,0.763
kknn,0.118,0,0.139088729016787,0.585,17,0.275,0.314,0.39
plsRglm,0.195,0,0.149284253578732,1,17,0.445,0.495,0.691
leapBackward,0.199,0,0.14968814968815,1,17,0.438,0.548,0.681
leapForward,0.204,0,0.14968814968815,1,17,0.438,0.548,0.681
ridge,0.186,0,0.169734151329243,1,17,0.413,0.497,0.622
gcvEarth,0.209,0,0.175869120654397,1,17,0.34,0.531,0.658
spikeslab,0.203,0,0.176271186440678,1,17,0.435,0.541,0.656
lars2,0.199,0,0.182254196642686,1,17,0.412,0.527,0.65
lars,0.197,0,0.184652278177458,0.963,17,0.41,0.534,0.654
enet,0.191,0,0.184652278177458,0.978,17,0.36,0.538,0.619
ctree,0.179,0,0.18705035971223,1,17,0.284,0.452,0.513
blasso,0.19,0,0.18705035971223,0.997,17,0.399,0.458,0.673
lasso,0.195,0,0.18705035971223,0.971,17,0.399,0.458,0.599
blassoAveraged,0.191,0,0.189448441247002,0.998,17,0.4,0.456,0.683
glmboost,0.196,0,0.194915254237288,1,17,0.428,0.522,0.61
knn,0.127,0,0.201438848920863,0.477852348993289,17,0.349,0.383,0.43
spls,0.223,0,0.206543967280164,1,17,0.438,0.637,0.805
gamSpline,0.211,0,0.217791411042945,1,17,0.423,0.446,0.589
avNNet,0.159,0,0.225490196078431,0.538558786346397,37,0.354,0.384,0.407
glmStepAIC,0.201,0,0.238983050847458,1,17,0.438,0.543,0.633
lmStepAIC,0.201,0,0.238983050847458,1,17,0.438,0.543,0.633
glmnet,0.188,0,0.244604316546763,0.967,17,0.424,0.472,0.617
pcaNNet,0.168,0,0.271056133056133,0.564476885644769,38,0.372,0.39,0.418
nnet,0.171,0,0.287768456375839,0.547445255474453,36,0.362,0.399,0.424
gamboost,0.266,0,0.29038854805726,0.988,17,0.419,0.59,0.813
cforest,0.257,0,0.301635991820041,0.948,17,0.514,0.594,0.666
avNNe,0.335,0.335,0.335,0.335,1,0.335,0.335,0.335
rlm,0.289,0,0.33728813559322,1,17,0.498,0.894,1
treebag,0.24,0,0.34,0.92,17,0.505,0.583,0.695
qrnn,0.291,0,0.357588357588358,1,17,0.616,0.94,1
krlsRadial,0.226,0,0.3621103117506,1,17,0.438,0.573,0.795
parRF,0.294,0,0.370143149284254,0.946308724832215,17,0.525,0.643,0.871
xgbLinear,0.31,0,0.384745762711864,1,17,0.667,0.758,0.875
ranger,0.291,0,0.386503067484663,0.963758389261745,17,0.56,0.613,0.833
bartMachine,0.305,0,0.41,1,17,0.637,0.688,0.824
rf,0.293,0,0.437,0.928,17,0.546,0.633,0.86
xgbTree,0.274,0,0.43728813559322,1,39,0.53,0.681,0.821
extraTrees,0.325,0,0.444906444906445,1,17,0.557,0.643,0.881
RRFglobal,0.314,0,0.447852760736196,0.936,17,0.618,0.74,0.886
Rborist,0.311,0,0.470347648261759,0.932405566600398,17,0.607,0.692,0.871
BstLm,0.381,0,0.477719242165312,1,38,0.921,0.984,0.99
relaxo,0.374,0,0.485231429476655,1,38,0.923,0.996,1
earth,0.33,0,0.509090909090909,0.959,17,0.718,0.763,0.836
RRF,0.347,0,0.524539877300613,1,17,0.613,0.813,0.92
svmLinear3,0.391,0,0.652434471230134,1,38,0.931,0.953,0.966
bagEarth,0.382,0,0.674576271186441,0.98,17,0.782,0.806,0.942
cubist,0.442,0,0.740106951871658,1,17,0.882,0.965,1
bam,0.248,0.781045751633987,0.814615285057918,0.848184818481848,2,0.828,0.835,0.841
svmLinear2,0.42,0,0.839333658774713,1,38,0.934,0.957,0.984
msaenet,0.501,0,0.853418739758677,1,32,1,1,1
gam,0.268,0.781045751633987,0.882272050734485,0.983498349834984,2,0.923,0.943,0.963
