bm C1 ^ -2,0,0,0,0,42,0,0
median subtraction in each row,0,0,0.002,0.029,42,0.008,0
poly C1 t C2 t C3,0,0,0.003,0.116,42,0,0
ifs nested 2 layer,0,0.0035,0.027,0.231,42,0.066,0.037
composite 1,0,0.105,0.128,0.305,46,0.254,0.231
composite 2,0,0.239,0.213,0.313,46,0.295,0.268
sparsity 20,0,0,0.038,0.357,42,0.118,0.038
sparsity NA,0,0.078,0.094,0.382,9,0.192,0.1
ifs smooth -C2-C3&C2+C3 onC1,0,0.039,0.083,0.398,42,0.253,0.118
ifs C2+C3 & C4+C5 on C1,0,0.1375,0.158,0.448,42,0.355,0.23
poly C1 ^ C2,0,0.0535,0.106,0.483,42,0.255,0.168
ifs C1&C2 on random,0.068,0.358,0.338,0.5,42,0.472,0.425
needles hay noise,0,0.078,0.128,0.55,37,0.349,0.169
sparsity 0,0,0.407,0.363,0.57,42,0.544,0.478
poly C1 t C2 t C3^1d3,0,0,0.066,0.59,42,0.313,0.022
bm 1dC1,0,0.008,0.066,0.65,42,0.239,0.068
noise in predictors,0,0.602,0.548,0.75,42,0.746,0.713
colinerity middle is correct,0,0.724,0.61,0.801,42,0.786,0.75
ifs 1 & -1 on C1,0,0,0.251,0.851,42,0.784,0.515
poly C1 t C2,0,0,0.14,0.856,42,0.499,0.173
bm log(C1),0,0.5525,0.479,0.882,42,0.857,0.727
rescale isotonic addition ran bin,0.222,0.738,0.676,0.903,42,0.892,0.883
rescale isotonic addition,0.18,0.7425,0.692,0.933,42,0.921,0.89
rescale 4 poly,0,0.2145,0.274,0.937,42,0.764,0.38
quantilization,0,0.8765,0.754,0.95,42,0.946,0.906
ifs -C2-C3 & C2+C3 on C1,0,0.1,0.161,0.956,42,0.368,0.2
ifs C1 & C2 on C1,0,0.363,0.39,0.961,42,0.616,0.514
ifs C2 & C3t2 on C4g1.5,0.194,0.5645,0.555,0.966,42,0.762,0.677
bm C1 ^ .5,0,0.74,0.664,0.982,42,0.96,0.914
ifs C2 & -C2 on C1,0,0.1725,0.22,0.995,42,0.536,0.242
bm C1 ^ 2,0,0.399,0.423,0.995,42,0.933,0.851
bm sin(C2),0.029,0.898,0.798,0.995,42,0.982,0.959
needles in haystack,0,0.0915,0.257,0.999,38,0.801,0.414
mean subtraction in each row,0,0.4255,0.451,0.999,42,0.987,0.869
Spread thinly,0.008,0.7555,0.634,0.999,42,0.999,0.971
outliers,0,0.488,0.474,1,42,0.749,0.597
colinerity unnecessary,0.187,0.794,0.763,1,42,0.999,0.994
basic latent features,0,0.8955,0.836,1,52,1,1
composite complete,0,0.795,0.659,1,42,1,0.989
