random,0,0.001,0.002,0.005,3,0.004,0.003
sparsity 20,0,0,0.005,0.191,122,0.001,0
median subtraction in each row,0,0,0.024,0.206,147,0.064,0.04
ifs nested 2 layer,0,0,0.016,0.209,146,0.05,0.021
needles hay noise,0,0.039,0.054,0.267,51,0.14,0.082
composite 1,0,0.092,0.1,0.327,133,0.194,0.139
composite 2,0,0.151,0.155,0.345,133,0.302,0.202
poly C1 t C2 t C3,0,0,0.035,0.416,114,0.115,0.034
ifs C2+C3 & C4+C5 on C1,0,0.143,0.144,0.431,147,0.249,0.207
sparsity NA,0,0.112,0.136,0.433,20,0.287,0.181
ifs smooth -C2-C3&C2+C3 onC1,0,0.115,0.117,0.452,147,0.289,0.177
bm C1 ^ -2,0,0,0.044,0.476,136,0.168,0
ifs -C2-C3 & C2+C3 on C1,0,0.073,0.106,0.642,147,0.281,0.158
sparsity 0,0,0.497,0.399,0.712,122,0.658,0.601
poly C1 t C2 t C3^1d3,0,0.084,0.106,0.717,141,0.255,0.163
noise in predictors,0,0.636,0.499,0.726,147,0.693,0.679
ifs C1&C2 on random,0,0.335,0.328,0.761,147,0.509,0.377
poly C1 ^ C2,0,0.175,0.182,0.786,123,0.423,0.319
bm 1dC1,0,0.004,0.08,0.803,119,0.226,0.1
colinerity middle is correct,0,0.788,0.643,0.835,148,0.821,0.807
poly C1 t C2,0,0,0.074,0.871,113,0.229,0.025
ifs C1 & C2 on C1,0,0.32,0.345,0.883,147,0.591,0.466
rescale isotonic addition ran bin,0,0.871,0.683,0.924,147,0.895,0.883
rescale 4 poly,0,0.385,0.321,0.936,147,0.65,0.476
rescale isotonic addition,0,0.878,0.691,0.943,147,0.903,0.889
quantilization,0,0.85,0.772,0.958,120,0.941,0.898
bm log(C1),0,0.516,0.454,0.962,133,0.715,0.571
ifs C2 & C3t2 on C4g1.5,0,0.495,0.454,0.98,147,0.65,0.55
bm C1 ^ .5,0,0.66,0.612,0.985,133,0.917,0.806
bm C1 ^ 2,0,0.024,0.306,0.99,21,0.922,0.854
needles in haystack,0,0.071,0.213,0.999,100,0.934,0.199
bm sin(C2),0,0.774,0.758,0.999,122,0.961,0.935
mean subtraction in each row,0,0.613,0.529,0.999,147,0.999,0.999
Spread thinly,0,0.938,0.659,0.999,147,0.999,0.998
ifs C2 & -C2 on C1,0,0.06,0.124,1,147,0.352,0.163
outliers,0,0.576,0.531,1,146,0.744,0.648
basic latent features,0,0.997,0.826,1,128,1,1
ifs 1 & -1 on C1,0,0,0.336,1,148,1,0.839
colinerity unnecessary,0,0.964,0.758,1,147,1,1
composite complete,0,0.961,0.684,1,147,1,1
