pMAE,pRMSE,ocvRMSE,RMSEutrans,MAEutrans,date,algomodel,trgCol,transTarg,task,missing,append,transform,pc,expirament,RMSEofMean,hpGen,randomseed,time,validmethod,tuneLength,cvcount,ignrepeats,adaptivemin,bestTune,,,,,,,,,,,,
0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,bac latent features,ignore,none,asis,1.127,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744822639878,FALSE,,,,,,,,,,
-0.069,0.069,-1,0.907,0.725,Wed Apr 11 18:08:31 2018,regr.bartMachine,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,0.9746,0.8667,nohyperparam,298,5,cv,20,20,NA,5
-0.031,-0.003,-1,0.677,0.542,Wed Apr 11 19:23:49 2018,regr.bcart,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,1,0.6751,0.9319,nohyperparam,273,4,cv,20,20,NA,5
-0.125,-0.097,-1,0.741,0.591,Wed Apr 11 19:24:23 2018,regr.blm,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,1,0.6751,0.9319,nohyperparam,273,33,cv,20,20,NA,5
0.073,0.032,-1,0.653,0.487,Wed Apr 11 19:24:25 2018,regr.brnn,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,1,0.6751,0.9319,nohyperparam,273,1,cv,20,20,NA,5
0.002,0.019,-1,0.662,0.525,Wed Apr 11 19:24:27 2018,regr.bst,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,1,0.6751,0.9319,nohyperparam,273,2,cv,20,20,NA,5
-0.125,-0.097,-1,0.741,0.591,Wed Apr 11 19:25:03 2018,regr.btlm,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,1,0.6751,0.9319,nohyperparam,273,35,cv,20,20,NA,5
0.078,0.084,-1,0.618,0.484,Wed Apr 11 19:25:06 2018,regr.cforest,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,1,0.6751,0.9319,nohyperparam,273,2,cv,20,20,NA,5
Fail,Fail,Fail,Fail,PackageFail,Wed Apr 11 19:25:14 2018,regr.crs,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,1,8
-0.031,-0.003,-1,0.677,0.542,Wed Apr 11 19:25:16 2018,regr.ctree,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,1,0.6751,0.9319,nohyperparam,273,1,cv,20,20,NA,5
-0.001,-0.004,-1,0.678,0.526,Wed Apr 11 19:25:17 2018,regr.cubist,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,1,0.6751,0.9319,nohyperparam,273,1,cv,20,20,NA,5
-0.031,-0.003,-1,0.677,0.542,Wed Apr 11 19:25:21 2018,regr.cvglmnet,1,2,4thbookrcentPCA,ignore,none,asis,ACEREBOUT,foldrecc20hp20cv,1,0.6751,0.9319,nohyperparam,273,3,cv,20,20,NA,5
