,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avNNet, Tue Feb 20 08:28:37 2018, 0.292, basic sum C1 + C2, c(0, 100)
bagEarth, Tue Feb 20 08:30:36 2018, 0.998, basic sum C1 + C2, c(100, 0)
bagEarthGCV, Tue Feb 20 08:31:42 2018, 0.998, basic sum C1 + C2, c(100, 0)
bam, Tue Feb 20 08:32:55 2018, 0.998, basic sum C1 + C2, c(NaN, NaN)
bartMachine, Tue Feb 20 08:45:19 2018, 0.968, basic sum C1 + C2, c(100, 0)
bayesglm, Tue Feb 20 08:45:35 2018, 0.998, basic sum C1 + C2, c(0, 100)
blasso, Tue Feb 20 08:45:51 2018, 0.997, basic sum C1 + C2, c(0, 100)
blassoAveraged, Tue Feb 20 08:46:05 2018, 0.996, basic sum C1 + C2, c(0, 100)
bridge, Tue Feb 20 08:46:20 2018, 0.998, basic sum C1 + C2, c(0, 100)
cforest, Tue Feb 20 08:47:28 2018, 0.907, basic sum C1 + C2, c(0, 100)
ctree, Tue Feb 20 08:47:45 2018, 0.805, basic sum C1 + C2, c(0, 100)
ctree2, Tue Feb 20 08:48:02 2018, 0.805, basic sum C1 + C2, c(0, 100)
cubist, Tue Feb 20 08:48:53 2018, 0.998, basic sum C1 + C2, c(NaN, NaN)
dnn, Tue Feb 20 08:49:19 2018, 0, basic sum C1 + C2, c(0, 100)
earth, Tue Feb 20 08:49:35 2018, 0.998, basic sum C1 + C2, c(100, 0)
elm, Tue Feb 20 08:49:50 2018, 0.998, basic sum C1 + C2, c(0, 100)
enet, Tue Feb 20 08:50:05 2018, 0.973, basic sum C1 + C2, c(0, 100)
evtree, Tue Feb 20 09:56:03 2018, 0.716, basic sum C1 + C2, c(0, 100)
extraTrees, Tue Feb 20 09:58:53 2018, 0.967, basic sum C1 + C2, c(0, 100)
foba, Tue Feb 20 09:59:08 2018, 0.998, basic sum C1 + C2, c(0, 100)
gam, Tue Feb 20 09:59:28 2018, 0.998, basic sum C1 + C2, c(NaN, NaN)
gamboost, Tue Feb 20 11:14:41 2018, 0.998, basic sum C1 + C2, c(0, 100)
gamSpline, Tue Feb 20 11:15:06 2018, 0.998, basic sum C1 + C2, c(0, 100)
gbm, Tue Feb 20 11:30:55 2018, 0.942, basic sum C1 + C2, c(0, 100)
gcvEarth, Tue Feb 20 11:33:58 2018, 0.998, basic sum C1 + C2, c(100, 0)
glm, Tue Feb 20 11:34:12 2018, 0.998, basic sum C1 + C2, c(0, 100)
glmboost, Tue Feb 20 11:35:02 2018, 0.998, basic sum C1 + C2, c(0, 100)
glmnet, Tue Feb 20 11:35:20 2018, 0.97, basic sum C1 + C2, c(0, 100)
glmStepAIC, Tue Feb 20 11:38:24 2018, 0.998, basic sum C1 + C2, c(0, 100)
icr, Tue Feb 20 11:38:42 2018, 0.998, basic sum C1 + C2, c(0, 100)
kernelpls, Tue Feb 20 11:38:58 2018, 0.998, basic sum C1 + C2, c(0, 100)
kknn, Tue Feb 20 11:43:07 2018, 0.946, basic sum C1 + C2, c(0, 100)
knn, Tue Feb 20 11:43:26 2018, 0.918, basic sum C1 + C2, c(0, 100)
krlsPoly, Tue Feb 20 11:48:13 2018, 0.132, basic sum C1 + C2, c(0, 100)
krlsRadial, Tue Feb 20 11:55:39 2018, 0.998, basic sum C1 + C2, c(0, 100)
lars, Tue Feb 20 11:55:55 2018, 0.916, basic sum C1 + C2, c(0, 100)
lars2, Tue Feb 20 11:56:10 2018, 0.011, basic sum C1 + C2, c(0, 100)
lasso, Tue Feb 20 11:56:25 2018, 0.916, basic sum C1 + C2, c(0, 100)
