basic latent features,227,0.95,avNNet,bagEarth,BstLm,cubist,elm,foba,gamSpline,glm.nb,glmboost,glmnet,icr,kernelpls,lars,lars2,leapBackward,leapForward,leapSeq,neuralnet,nnet,pcaNNet,pcr,ppr,simpls,widekernelpls,bagEarth,bagEarthGCV,bayesglm,blasso,blassoAveraged,bridge,BstLm,bstSm,cubist,earth,elm,enet,foba,gamboost,gamSpline,gcvEarth,glm,glmboost,glmnet,glmStepAIC,icr,kernelpls,krlsRadial,lars,lars2,lasso,leapBackward,leapForward,leapSeq,lm,lmStepAIC,msaenet,neuralnet,pcr,avNNet,bagEarth,bagEarthGCV,bayesglm,BstLm,cubist,earth,elm,foba,gamSpline,gcvEarth,glm,glmboost,glmnet,glmStepAIC,icr,kernelpls,lars,lars2,leapBackward,leapForward,leapSeq,lm,lmStepAIC,neuralnet,pcaNNet,pcr,ppr,simpls,widekernelpls,bagEarth,bagEarthGCV,bayesglm,BstLm,cubist,earth,elm,foba,gamSpline,gcvEarth,glm,glmboost,glmnet,glmStepAIC,icr,kernelpls,lars,lars2,leapBackward,leapForward,leapSeq,lm,lmStepAIC,msaenet,neuralnet,pcr,ppr,simpls,svmLinear2,widekernelpls,bagEarth,cubist,elm,foba,gamSpline,glmboost,glmnet,icr,kernelpls,lars,lars2,leapBackward,leapForward,leapSeq,msaenet,ppr,relaxo,simpls,svmLinear2,widekernelpls,BstLm,avNNet,bagEarth,cubist,earth,elm,foba,gamSpline,glm.nb,glmboost,glmnet,icr,kernelpls,lars,lars2,leapBackward,leapForward,leapSeq,nnet,pcaNNet,pcr,ppr,rqlasso,rqnc,simpls,widekernelpls,avNNet,bagEarth,bagEarthGCV,bam,bayesglm,BstLm,cubist,earth,elm,foba,gam,gamSpline,gcvEarth,glm,glm.nb,glmboost,glmnet,glmStepAIC,icr,kernelpls,lars,lars2,leapBackward,leapForward,leapSeq,lm,lmStepAIC,nnet,pcaNNet,pcr,ppr,simpls,widekernelpls,bagEarth,bagEarthGCV,bayesglm,BstLm,cubist,earth,elm,foba,gamSpline,gcvEarth,glm,glmboost,glmnet,glmStepAIC,icr,kernelpls,lars2,leapBackward,leapForward,leapSeq,lm,lmStepAIC,msaenet,pcr,ppr,relaxo,simpls,svmLinear2,svmLinear3,widekernelpls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 t C2,5,0.94905,bagEarth,earth,bagEarth,earth,earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 ^ C2,1,0.684,cubist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 t C2 t U3^1d3,4,0.7334,earth,bagEarth,earth,earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean subtraction in each row,20,0.2527,cubist,elm,foba,gamSpline,glm.nb,glmboost,glmnet,icr,kernelpls,lars,leapBackward,leapForward,leapSeq,pcaNNet,pcr,simpls,svmLinear2,widekernelpls,svmLinear2,pcaNNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 ^ 2,29,0.9405,cubist,earth,gamSpline,Rborist,xgbLinear,cubist,gamSpline,RRF,RRFglobal,bagEarth,cubist,gamSpline,xgbLinear,bagEarth,bagEarthGCV,cubist,parRF,ranger,Rborist,rf,RRF,RRFglobal,xgbLinear,bagEarth,bagEarthGCV,cubist,ppr,Rborist,xgbLinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 ^ .5,46,0.9443,bagEarth,cubist,earth,gamSpline,parRF,pcaNNet,ppr,ranger,Rborist,rf,RRFglobal,xgbLinear,cubist,ppr,Rborist,xgbLinear,RRF,RRFglobal,Rborist,avNNet,bagEarth,cubist,earth,gamSpline,parRF,ppr,ranger,rf,xgbLinear,cubist,gamSpline,parRF,ppr,ranger,RRF,xgbLinear,bagEarth,bagEarthGCV,cubist,gamSpline,ppr,ranger,Rborist,rf,RRFglobal,xgbLinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 ^ -2,2,0.57665,cubist,evtree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median subtraction in each row,1,0.1634,gbm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
switches between C2 & -C2 based on C1,5,0.95,cubist,cubist,cubist,cubist,cubist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
