1.033,0.729,0.957,-0.803,-0.514,0.32,1.541,0.393,0.604,0.852,1,0
1.446,0.591,0.536,-0.647,0.663,1.38,0.416,0.506,-0.871,1.288,1,0
2.161,0.872,0.413,-0.214,1.151,-1.056,0.154,-0.126,0.556,1.676,1,0
,-0.66,-0.749,2.695,1.534,-2.081,-0.941,0.953,-0.29,0.477,1,0
0.642,1.888,1.264,0.961,0.012,0.117,0.653,0.316,0.763,0.053,1,0
0.921,-0.115,0.488,0.41,-1.38,0.216,0.44,-0.528,0.089,0.496,1,0
,0.814,-1.334,1.318,-1.169,-2.418,-0.722,1.161,-0.654,0.913,1,0
0.315,-0.811,0.24,-0.007,-1.408,0.197,-0.024,2.342,-0.557,1.337,1,0
16.454,1.904,0.23,0.278,-0.613,2.564,-0.484,0.678,-0.153,0.218,1,0
,1.011,-0.371,-0.277,2.667,-0.221,0.605,0.133,0.986,1.397,1,0
1.099,0.537,0.839,-0.228,0.279,0.778,1.63,0.109,-0.266,0.968,1,0
,-1.44,-1.15,0.162,-0.646,1.578,1.217,-0.15,-0.68,-0.128,1,0
,-0.788,-1.167,1.849,0.911,-0.325,-0.817,-0.077,0.297,-1.001,1,0
1.023,1.011,0.978,-0.486,0.415,-0.257,0.838,-0.532,-1.617,-0.098,1,0
,-0.829,-0.652,1.203,1.648,1.435,-1.117,0.628,-1.111,-0.887,1,0
,0.712,-0.581,-0.191,0.632,1.396,-0.302,-0.887,0.8,-0.252,1,0
,0.22,-0.39,0.246,0.519,0.276,-0.117,-0.3,2.363,-0.421,1,0
,-0.57,-0.116,0.83,1.909,-0.729,-0.212,0.348,-0.575,-1.256,1,0
,-0.383,-0.356,0.862,-0.647,-1.174,1.211,-0.886,1.608,0.146,1,0
1.625,0.48,0.363,1.937,2.881,0.463,1.521,-0.949,0.143,0.404,1,0
,-0.407,-1.029,-0.131,-0.252,0.336,-1.081,0.697,0.789,-0.918,1,0
,0.107,-1.181,-0.56,1.661,0.336,-0.688,-0.154,0.437,-0.21,1,0
,-1.043,-0.966,0.689,0.884,0.701,0.387,0.09,-0.095,-0.663,1,0
,0.309,-0.337,-0.035,1.167,1.273,0.195,0.035,-0.28,-0.35,1,0
,-1.164,-0.393,-1.149,0.795,-0.452,0.331,0.702,-0.985,0.211,1,0
0.726,-0.357,0.408,0.295,0.146,-1.003,-0.35,-0.523,-0.049,-1.305,1,0
0.476,-0.627,0.306,-0.14,-0.051,0.298,-1.203,-0.446,-0.064,0.054,1,0
1.121,-1.192,1.1,0.927,-0.951,1.295,0.944,1.405,1.705,0.892,1,0
,-0.905,-0.371,-0.234,2,-0.038,-0.207,1.426,0.831,0.699,1,0
,1.219,-0.855,0.148,0.868,-0.545,0.182,-2.067,0.094,-0.063,1,0
1.001,0.001,0.132,1.182,0.038,0.453,-0.485,0.643,-1.339,-0.93,1,0
,0.423,-0.973,0.557,0.298,0.779,-2.464,-0.845,-0.33,-2.323,1,0
1.399,-0.818,1.508,1.51,-0.599,0.983,0.893,-1.786,0.021,-0.274,1,0
1.071,0.56,0.884,0.968,-1.676,0.527,-1.351,0.321,1.375,1.147,1,0
1.755,0.635,0.412,-0.644,1.026,-2.005,-1.028,-0.164,0.291,-0.197,1,0
,-0.623,-0.734,1.112,0.727,0.664,1.166,-1.574,0.356,-0.754,1,0
,0.1,-1.252,0.825,-1.541,0.281,0.169,1.438,-0.848,-1.434,1,0
,-0.448,-0.323,-1.489,-0.121,-0.243,-0.118,-0.88,-0.123,0.391,1,0
,-0.292,-1.127,1.449,0.044,-1.052,0.667,1.699,-0.805,1.05,1,0
,-0.944,-0.205,-0.572,0.915,0.649,-0.265,-0.046,-0.336,0.659,1,0
2.945,-2.127,1.662,-0.23,-0.537,0.212,1.184,1.587,-0.584,1.195,1,0
1.33,-0.712,1.493,-1.392,1.31,-1.752,0.363,-0.136,-0.225,-1.067,1,0
,-0.94,-1.598,0.204,-0.563,0.559,-0.318,-0.887,1.84,0.488,1,0
,0.271,-1.249,-0.229,-0.228,0.275,1.575,-1.02,0.528,0.875,1,0
,0.918,-0.029,0.684,-0.786,-0.139,0.744,1.193,-1.237,0.688,1,0
8.499,1.322,0.198,0.27,-1.216,0.011,-0.736,0.887,-0.413,0.764,1,0
1.025,-0.916,1.028,0.912,1.749,0.706,1.772,-2.351,-0.278,-0.372,1,0
0.843,0.244,2.012,0.345,-0.252,-1.606,1.607,0.889,1.672,0.169,1,0
,0.227,-1.341,-0.384,-0.57,0.234,0.025,-0.499,0.815,1.307,1,0
,-0.524,-2.408,1.373,0.461,-0.13,-0.098,-0.025,1.229,0.192,1,0
1.461,0.711,0.587,1.512,-0.833,-1.574,0.779,-0.601,0.788,0.166,1,0
,0.578,-0.481,0.507,-0.801,-0.622,1.718,0.754,1.511,-0.516,1,0
,2.461,-0.231,-0.077,1.206,0.249,1.88,0.059,1.025,-1.188,1,0
,-0.069,-0.828,-0.75,-0.954,-2.185,-0.02,0.099,-2.099,-0.604,1,0
2.395,0.279,0.044,-2.343,0.942,-0.082,-0.971,1.346,0.792,-1.55,1,0
4.063,1.309,0.343,-0.476,0.255,1.68,0.364,0.277,0.764,-0.178,1,0
,-0.113,-0.547,-1.349,-0.702,-0.545,0.888,-0.646,0.533,-0.979,1,0
,0.278,-1.495,0.717,-0.891,-0.281,-0.362,1.896,2.041,1.293,1,0
,-1.721,-1.541,-0.602,0.574,0.915,-0.336,-0.031,-0.12,-1.242,1,0
,-0.273,-0.859,-0.835,0.15,-0.022,0.232,0.168,0.236,0.659,1,0
,-0.01,-0.617,0.304,-0.747,0.123,-0.256,-0.414,0.776,-0.557,1,0
0.001,-1.647,0.016,0.125,-0.471,1.181,0.587,-1.093,1.322,0.149,1,0
,0.961,-1.376,0.041,-1.724,-0.569,1.021,0.666,0.464,1.128,1,0
0.943,-0.02,0.058,-0.731,-1.284,-1.028,0.11,-0.771,0.412,-1.228,1,0
0.707,-0.374,0.396,0.143,0.121,1.398,1.272,-0.338,-1.85,0.457,1,0
,-0.149,-1.757,-0.477,0.243,-0.891,-0.251,-2.146,0.103,0.191,1,0
,-0.034,-0.516,-0.554,1.388,1.138,-1.279,2.238,-2.5,1.165,1,0
,-0.403,-0.486,1.538,-0.307,0.367,-1.243,-1.927,-0.347,-2.292,1,0
1.359,1.418,0.805,-1.722,1.431,-0.164,-1.108,0.544,-1.007,-0.777,1,0
1.073,0.258,0.761,0.573,0.516,0.343,0.048,0.45,-0.93,-2.705,1,0
,0.605,-0.619,0.694,-0.571,0.534,0.234,-0.065,-0.417,0.363,1,0
,-0.022,-1.746,-1.135,0.655,-1.578,-1.092,0.855,-1.022,-0.831,1,0
,2.476,-1.019,-0.372,0.63,1.57,-0.221,1.098,1.007,0.803,1,0
0.566,0.883,1.907,-0.104,-0.553,0.344,-0.275,-0.651,0.267,-0.796,1,0
1.037,-0.293,1.131,-0.074,-0.829,1.102,0.375,0.252,0.121,-1.059,1,0
0.902,1.247,1.086,0.043,1.978,1.681,0.325,-0.334,-2.085,-0.337,1,0
,0.163,-0.897,-0.406,-0.409,-1.119,0.785,0.448,0.802,0.181,1,0
1.064,0.168,0.692,-0.077,0.618,0.292,0.056,2.575,0.294,-0.733,1,0
0.689,-0.472,0.454,0.785,0.102,-1.044,0.935,0.226,0.465,-0.139,1,0
0.875,-1.355,0.906,1.019,0.231,0.385,0.078,0.829,0.628,1.343,1,0
,-0.159,-1.357,-1.213,0.585,-0.047,-1.408,-0.145,0.452,-0.538,1,0
,0.645,-0.816,-0.404,-1.145,0.542,-0.163,0.824,1.242,-0.048,1,0
6.684,0.712,0.069,0.767,0.109,0.758,-2.138,1.422,-0.668,-1.172,1,0
0.368,-1.043,0.383,1.153,-0.941,-0.485,-0.797,-0.395,-0.002,0.851,1,0
0.238,-1.75,0.44,0.225,-0.645,0.326,0.917,-0.444,-0.312,-1.305,1,0
1.509,1.456,0.754,-1.422,1.201,-2.591,1.233,1.384,0.37,-0.066,1,0
,-0.705,-1.388,-0.13,0.406,1.332,1.176,-1.502,-0.966,-1.445,1,0
0.947,-0.252,0.804,0.391,-0.022,0.983,-0.902,0.142,0.968,0.501,1,0
1.283,-0.993,1.285,-1.187,0.501,-1.339,0.86,0.985,1.823,-0.899,1,0
0.024,-1.504,0.083,-0.65,0.564,2.527,-0.978,0.675,0.156,0.401,1,0
,-0.38,-0.837,-0.263,-0.035,0.494,0.153,0.24,1.85,2.262,1,0
,1.135,-0.11,0.516,-0.747,0.807,0.406,0.782,0.201,1.434,1,0
,-0.132,-0.243,0.958,0.019,0.435,0.621,0.663,0.041,-0.554,1,0
1.004,-0.496,1.007,0.087,0.081,1.807,0.427,-0.056,-0.83,0.863,1,0
