-0.63,0.533,-1.392,-0.003,0.235,0.319,0.733,-0.704,-0.156,0.625,1,0
,-0.029,-0.126,0.292,0.567,-0.776,-0.056,1.181,0.022,-0.605,1,0
,-1.765,-0.198,0.882,1.338,-0.009,-1.719,0.602,1.006,0.527,1,0
,-0.299,-1.411,-0.485,2.495,-1.979,-0.714,0.084,1.538,1.506,1,0
,-0.261,1.274,-1.129,0.28,0.239,-0.225,1.385,-2.445,1.042,1,0
,-0.238,-1.474,1.534,0.201,-3.321,0.713,0.973,-0.413,0.947,1,0
,-0.944,-1.568,-1.499,0.444,1.274,-1.074,-0.958,-1.669,0.467,1,0
,-0.433,-0.131,-0.322,-1.466,-1.154,-0.555,-0.41,-0.716,0.08,1,0
,-0.732,1.478,0.695,0.162,-0.085,-1.302,0.224,-0.273,-0.921,1,0
,-0.888,-2.827,-0.814,-0.347,0.148,-1.304,-0.2,2.116,0.143,1,0
0.051,1.052,1.332,-0.767,1.361,0.915,1.477,0.552,-0.539,-0.207,1,0
-0.134,0.874,0.296,-1.474,-2.521,0.488,0.89,0.866,-1.125,0.255,1,0
0.343,1.409,0.465,0.295,0.529,0.89,0.736,-0.197,-0.354,-1.192,1,0
,-0.164,0.455,-0.288,-0.134,0.486,0.264,0.574,0.81,1.261,1,0
,-0.243,-1.408,1.07,0.833,0.888,-0.985,-0.128,-0.056,0.291,1,0
,-1.139,0.098,-0.837,-0.585,0.617,0.67,1.502,1.134,0.97,1,0
-0.154,0.857,-0.665,0.281,0.341,-0.256,0.371,-1.225,0.214,0.102,1,0
-1.113,0.329,0.006,-1.021,1.705,-0.839,0.45,1.065,-0.184,-0.577,1,0
,-1.175,0.931,-1.159,0.766,0.495,-0.767,-1.046,0.885,1.573,1,0
,-0.123,0.311,0.658,-2.325,2.182,-1.139,1.02,-0.86,0.482,1,0
,-0.486,1.114,1.362,-1.575,2.046,-0.894,-1.021,-0.428,-0.645,1,0
0.012,1.012,0.854,0.294,-0.55,-1.145,0.299,0.474,-1.207,-1.384,1,0
,-0.402,-0.618,-0.601,-0.024,-0.019,-0.472,-0.839,-0.158,0.489,1,0
-0.612,0.542,-0.307,-0.417,-0.737,1.689,0.398,1.317,-0.374,1.158,1,0
,-0.17,1.948,0.676,1.391,-1.024,0.288,0.828,0.668,0.415,1,0
0.28,1.323,-0.685,1.276,-0.693,-0.656,-3.466,-0.81,0.487,-1.66,1,0
0.487,1.627,-1.386,-0.269,1.33,-0.66,0.222,0.928,1.177,-1.182,1,0
,-0.605,-0.61,-1.301,1.645,0.148,0.473,-0.567,-0.607,-0.33,1,0
-0.199,0.82,-0.794,0.743,0.644,1.42,-1.192,-0.797,-0.289,1.993,1,0
-1.024,0.359,-1.483,-1.629,0.029,0.31,-0.628,0.082,0.575,-0.205,1,0
,-0.059,-0.377,-1.251,0.516,0.367,1.634,-0.37,-0.972,-0.809,1,0
-2.126,0.119,-1.59,-1.514,1.148,0.308,-1.504,-0.549,-0.557,-0.055,1,0
,-0.876,-0.106,0.196,2.205,0.947,0.915,-0.116,-0.304,0.078,1,0
,-1.202,0.606,-0.626,-0.343,1.257,-0.141,1.226,-1.351,0.236,1,0
,-0.257,-0.697,0.98,-1.743,0.325,0.288,-0.29,-0.46,-1.547,1,0
-1.096,0.334,0.65,0.11,-0.476,0.323,1.523,0.284,-1.327,0.327,1,0
,-0.568,-0.54,-0.311,-1.364,0.33,0.926,0.821,-0.668,0.015,1,0
,-2.135,0.428,-0.002,-0.412,-1.257,0.961,0.043,-0.1,0.177,1,0
,-2.172,-0.798,-1.149,0.46,0.208,-1.091,-1.03,1.629,1.954,1,0
,-1.806,-1.633,-0.508,0.221,-0.341,0.813,0.624,1.401,-0.95,1,0
1.139,3.125,1.743,-2.407,0.999,-0.483,0.376,2.058,-1.022,-0.06,1,0
-1.515,0.22,-0.244,0.903,-0.253,-1.228,-1.207,-0.671,-0.765,-0.231,1,0
-0.288,0.75,-0.272,0.112,-0.187,-0.279,-0.416,-0.388,-0.595,0.245,1,0
,-0.995,0.423,-0.927,0.615,1.711,1.233,-0.211,-0.171,-0.084,1,0
0.431,1.538,0.399,-0.763,-0.117,0.063,0.781,-0.476,0.034,1.257,1,0
,-1.684,0.352,0.017,0.088,0.76,-2.464,-0.45,-0.468,1.276,1,0
-0.509,0.601,-1.264,0.52,0.227,-0.238,-0.28,-1.315,-0.292,-0.462,1,0
,-0.727,1.593,0.302,-0.862,0.989,-1.423,-1.82,0.361,1.024,1,0
-1.884,0.152,-0.201,2.028,0.451,0.14,-0.057,-1.109,-1.655,0.398,1,0
0.367,1.443,0.427,-1.157,-1.88,1.182,-0.214,-0.192,-0.319,-0.73,1,0
0.282,1.325,0.003,2.515,0.003,-0.07,0.794,0.762,-1.159,-0.332,1,0
,-1.988,0.18,-0.069,0.4,-0.32,-0.644,-2.117,0.899,-1.123,1,0
-1.062,0.346,-0.166,1.521,-0.104,0.82,0.42,0.683,-0.064,0.299,1,0
,-0.988,1.85,-0.108,0.844,0.852,-2.278,-1.035,-0.334,0.313,1,0
,-0.274,0.003,-0.639,-0.082,0.927,0.432,0.53,-0.473,-1.038,1,0
-1.989,0.137,-0.821,1.175,-0.228,0.046,1.147,-1.934,-1.119,-0.068,1,0
-0.78,0.458,-2.046,-0.701,-1.591,-0.304,2.083,0.356,0.311,0.457,1,0
0.239,1.269,0.369,-0.05,-0.769,0.445,-1.311,0.377,0.888,0.693,1,0
-0.515,0.598,-0.648,1.758,-1.544,1.354,-0.442,-0.251,-0.3,1.605,1,0
,-1.146,0.055,-0.866,-0.187,-0.979,-0.147,0.744,0.936,-0.412,1,0
-2.967,0.051,-0.478,-0.458,-1.144,-0.768,-0.347,0.511,-0.567,-0.717,1,0
,-1.021,0.737,0.608,0.353,0.314,-1.075,-0.128,0.471,0.679,1,0
,-0.331,0.696,0.354,-0.873,-0.303,0.573,-0.546,-0.277,1.664,1,0
,-1.066,-0.644,1.442,0.281,-1.471,1.751,1.548,0.287,1.462,1,0
0.681,1.976,-0.677,-0.01,-0.832,-1.181,-0.057,-1.141,-0.475,-1.295,1,0
0.089,1.093,1.283,-0.46,0.373,-0.782,0.749,-0.406,1.128,0.355,1,0
-0.524,0.592,-1.235,0.41,1.596,-0.349,-0.55,-0.315,-1.195,1.731,1,0
,-2.353,-0.155,0.474,0.566,1.575,-0.577,0.258,1.05,0.411,1,0
,-1.068,-1.095,0.239,0.45,-1.971,0.932,0.75,0.369,-0.506,1,0
0.487,1.627,0.923,1.509,-2.217,-0.834,-0.182,-0.016,-0.921,1.491,1,0
-1.715,0.18,0.878,-0.103,-0.407,-0.827,0.71,-0.753,0.913,-0.139,1,0
-0.263,0.769,-1.979,-1.424,2.425,0.576,-0.032,0.595,0.333,0.405,1,0
,-0.251,-0.118,0.802,-0.142,0.288,-0.194,0.716,-0.276,-0.789,1,0
-0.243,0.785,1.712,-0.566,-0.096,-1.515,-0.599,1.026,-1.681,1.286,1,0
,-1.661,-2.207,-1.881,-1.072,0.206,-0.623,0.539,-0.932,1.615,1,0
,-0.439,0.541,1.174,-0.163,0.692,0.758,0.958,0.118,0.845,1,0
-0.647,0.524,-2.136,-0.095,1.196,0.171,-0.539,-0.687,-0.074,0.347,1,0
0.33,1.391,0.423,0.837,0.34,-1.131,1.425,1.58,-0.2,0.573,1,0
-0.499,0.607,-0.606,0.197,-2.516,-1.066,0.039,-1.185,-0.679,0.69,1,0
-0.758,0.468,1.448,0.227,1.739,1.594,-1.277,0.143,0.319,0.594,1,0
