pcr,2,2,2.28571428571429,3
lm,2,2,2.33928571428571,4
glm,2,2,2.375,4
kernelpls,2,2,2.375,5
knn,2,2,2.5,5
leapBackward,2,2,2.5,5
rpart1SE,2,2,2.5,6
leapForward,2,2,2.52727272727273,4
lars,2,2,2.53571428571429,5
leapSeq,2,2.5,2.59259259259259,5
gcvEarth,2,3,2.66071428571429,4
simpls,2,3,2.66071428571429,6
bayesglm,2,3,2.71428571428571,3
lars2,2,3,2.72222222222222,5
elm,2,3,2.80357142857143,5
rpart2,2,3,2.91071428571429,6
rpart,2,3,2.96428571428571,6
foba,2,3,3.05769230769231,4
widekernelpls,2,3,3.17857142857143,7
ppr,2,3,3.23214285714286,5
svmRadial,3,3,3.32142857142857,6
svmRadialCost,3,3,3.375,6
svmRadialSigma,3,3,3.375,7
glmnet,3,3,3.60714285714286,6
svmPoly,2,3,7.94642857142857,217
relaxo,3,3.5,3.57142857142857,6
earth,3,4,4.10714285714286,7
glm.nb,3,4,4.12,7
svmLinear3,2,4,4.23214285714286,9
ctree2,3,4,4.39285714285714,8
ctree,3,4,4.44642857142857,7
dnn,3,5,4.625,6
lmStepAIC,2,5,4.85714285714286,7
kknn,3,5,5.23214285714286,10
svmLinear,3,5,12,72
svmLinear2,3,5,17.6785714285714,157
glmStepAIC,3,6,5.48214285714286,8
ranger,3,6,5.92857142857143,9
pcaNNet,4,6,6.5,12
nnet,3,7,6.75,12
treebag,5,7,7.07142857142857,13
rf,5,8,9.07142857142857,18
xgbLinear,6,9,9.33928571428571,13
cforest,4,9,9.60714285714286,22
icr,5,9,9.60714285714286,17
RRFglobal,5,9,9.66071428571429,23
gbm,3,9,9.67307692307692,26
gamSpline,8,9,10.4285714285714,21
msaenet,7,9.5,9.89285714285714,16
parRF,5,10,9.69642857142857,17
glmboost,5,11,11.6785714285714,30
RRF,7,17,18.6274509803922,52
bagEarthGCV,11,17,18.7857142857143,32
qrf,8,17,23.8035714285714,67
avNNet,7,22.5,23.6071428571429,46
cubist,10,24.5,27.9821428571429,91
avNNe,53,53,53,53
xgbTree,28,54,54.4464285714286,140
bagEarth,36,67,74.4821428571429,166
evtree,54,72.5,82.2678571428571,195
BstLm,45,77,84.75,175
Rborist,29,82,83.4107142857143,219
bag,Inf,,,-Inf
bam,Inf,,,-Inf
bartMachine,Inf,,,-Inf
blasso,Inf,,,-Inf
blassoAveraged,Inf,,,-Inf
bridge,Inf,,,-Inf
DENFIS,Inf,,,-Inf
enet,Inf,,,-Inf
extraTrees,Inf,,,-Inf
gam,Inf,,,-Inf
gamboost,Inf,,,-Inf
gaussprLinear,Inf,,,-Inf
gaussprPoly,Inf,,,-Inf
gaussprRadial,Inf,,,-Inf
gbm_h2o,Inf,,,-Inf
glmnet_h2o,Inf,,,-Inf
krlsPoly,Inf,,,-Inf
krlsRadial,Inf,,,-Inf
lasso,Inf,,,-Inf
logicBag,Inf,,,-Inf
logreg,Inf,,,-Inf
M5,Inf,,,-Inf
M5Rules,Inf,,,-Inf
nnls,Inf,,,-Inf
ordinalNet,Inf,,,-Inf
pls,Inf,,,-Inf
plsRglm,Inf,,,-Inf
pythonKnnReg,Inf,,,-Inf
qrnn,Inf,,,-Inf
randomGLM,Inf,,,-Inf
ridge,Inf,,,-Inf
rlm,Inf,,,-Inf
rqlasso,Inf,,,-Inf
rqnc,Inf,,,-Inf
rvmLinear,Inf,,,-Inf
rvmPoly,Inf,,,-Inf
rvmRadial,Inf,,,-Inf
SBC,Inf,,,-Inf
spikeslab,Inf,,,-Inf
spls,Inf,,,-Inf
superpc,Inf,,,-Inf
svmBoundrangeString,Inf,,,-Inf
svmExpoString,Inf,,,-Inf
svmSpectrumString,Inf,,,-Inf
WM,Inf,,,-Inf
xyf,Inf,,,-Inf
