0.335,nzv,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNe,8,1,basic latent features,ignore,none,asis,1.127849791,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744823,FALSE,,,,
0.894,nzv,0.854,NA,0.259,0.147,Fri Aug 11 00:44:42 2017,avNNet,1,1,basic latent features,ignore,none,range01,1.7788029605,random,223,22,cv,5,6,1,5,16,0.0004148194,FALSE,,,,
Fail,nzv,Fail,Fail,Fail,Fail,Fri Aug 11 00:44:44 2017,bag,1,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,
0.987,nzv,0.987,6,0.024,0.018,Fri Aug 11 00:45:20 2017,bagEarth,1,1,basic latent features,ignore,none,range01,1.7788029605,random,225,35,cv,5,6,1,5,6,2,,,,,
0.999,nzv,0.999,-1,0.002,0.001,Fri Aug 11 00:45:31 2017,bagEarthGCV,1,1,basic latent features,ignore,none,range01,1.7788029605,random,226,10,cv,5,6,1,5,1,,,,,,
Fail,nzv,Fail,Fail,Fail,Fail,Fri Aug 11 00:46:17 2017,bam,1,1,basic latent features,ignore,none,range01,46,,,,,,,,,,,,,,,
Fail,nzv,Fail,Fail,Fail,Fail,Fri Aug 11 00:46:18 2017,bartMachine,1,1,basic latent features,ignore,none,range01,1,,,,,,,,,,,,,,,
1,nzv,1,-1,0,0,Fri Aug 11 00:46:21 2017,bayesglm,1,1,basic latent features,ignore,none,range01,1.7788029605,random,229,2,cv,5,6,1,5,none,,,,,,
Fail,nzv,Fail,Fail,Fail,Fail,Fri Aug 11 00:46:25 2017,blasso,1,1,basic latent features,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,nzv,Fail,Fail,Fail,Fail,Fri Aug 11 00:46:28 2017,blassoAveraged,1,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,
Fail,nzv,Fail,Fail,Fail,Fail,Fri Aug 11 00:46:32 2017,bridge,1,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
0.958,nzv,0.959,283,0.073,0.058,Fri Aug 11 00:47:25 2017,BstLm,1,1,basic latent features,ignore,none,range01,1.7788029605,random,233,53,cv,5,6,1,5,283,0.3861209174,,,,,
0.661,nzv,0.613,5,0.689,0.47,Fri Aug 11 00:47:38 2017,cforest,1,1,basic latent features,ignore,none,range01,1.7788029605,random,234,12,cv,5,6,1,5,5,,,,,,
0.606,nzv,0.565,0.753,0.775,0.546,Fri Aug 11 00:47:41 2017,ctree,1,1,basic latent features,ignore,none,range01,1.7788029605,random,235,3,cv,5,6,1,5,0.7530544095,,,,,,
0.606,nzv,0.565,0.801,0.775,0.546,Fri Aug 11 00:47:44 2017,ctree2,1,1,basic latent features,ignore,none,range01,1.7788029605,random,236,3,cv,5,6,1,5,5,0.8010630738,,,,,
0.999,nzv,0.999,7,0.002,0.002,Fri Aug 11 00:48:00 2017,cubist,1,1,basic latent features,ignore,none,range01,1.7788029605,random,237,15,cv,5,6,1,5,24,7,,,,,
-1.349,nzv,-1.179,11,NA,NA,Fri Aug 11 00:48:42 2017,DENFIS,1,1,basic latent features,ignore,none,range01,1.7788029605,random,238,42,cv,5,6,1,5,0.972441108,11,,,,,
0,nzv,-0.004,0.076,1.786,1.386,Fri Aug 11 00:48:46 2017,dnn,1,1,basic latent features,ignore,none,range01,1.7788029605,random,239,3,cv,5,6,1,5,13,2,8,0.0099667822,0.0755479823,,
0.981,nzv,0.98,6,0.036,0.027,Fri Aug 11 00:48:49 2017,earth,1,1,basic latent features,ignore,none,range01,1.7788029605,random,240,3,cv,5,6,1,5,6,1,,,,,
1,nzv,1,NA,0,0,Fri Aug 11 00:48:51 2017,elm,1,1,basic latent features,ignore,none,range01,1.7788029605,random,241,2,cv,5,6,1,5,9,purelin,,,,,
1,nzv,1,0.811,0.001,0.001,Fri Aug 11 00:48:54 2017,enet,1,1,basic latent features,ignore,none,range01,1.7788029605,random,242,2,cv,5,6,1,5,0.8110430224,1.45703741977378e-05,,,,,
