DENFIS,0,0,0,0,1,0,0,0
dnn,0.037,0,0,0.976939203354298,20,0.019,0.072,0.209
qrf,0.202,0,0,1,18,0.212,0.493,0.771
rpart2,0.15,0,0.024,0.664602683178535,17,0.283,0.432,0.505
krlsPoly,0.037,0.037,0.037,0.037,1,0.037,0.037,0.037
evtree,0.176,0,0.042,0.84,19,0.259,0.448,0.524
rpart,0.199,0,0.0709701476168542,0.92,18,0.265,0.386,0.588
neuralnet,0.331,0,0.0995670995670996,0.986,15,0.711,0.962,0.984
partDSA,0.154,0,0.114666666666667,0.753353973168215,15,0.178,0.259,0.473
relaxo,0.211,0,0.148951655018389,1,18,0.38,0.563,0.742
widekernelpls,0.292,0,0.180666666666667,1,18,0.591,0.763,1
simpls,0.294,0,0.183073170731707,1,18,0.627,0.763,1
pcr,0.295,0,0.197333150384193,1,18,0.591,0.779,1
svmLinear3,0.227,0,0.205833333333333,0.993406593406593,18,0.537,0.664,0.806
BstLm,0.308,0,0.248028816986855,0.999,20,0.704,0.899,0.978
ctree2,0.217,0,0.250406976744186,1,20,0.336,0.421,0.529
ctree,0.228,0,0.255,1,20,0.35,0.41,0.686
ppr,0.379,0,0.288734530938124,1,18,0.802,0.979,0.995
icr,0.331,0,0.3045,1,20,0.759,0.976,1
xgbTree,0.287,0,0.323437594238911,0.837,18,0.6,0.633,0.695
glmnet,0.345,0,0.324,0.973,19,0.69,0.95,0.971
lars2,0.338,0,0.333592664092664,1,20,0.704,0.977,1
lars,0.343,0,0.3355,1,20,0.705,0.979,1
kernelpls,0.333,0,0.336,1,20,0.751,0.951,1
nnet,0.25,0,0.341,1,18,0.433,0.479,0.815
glmboost,0.339,0,0.3415,1,20,0.717,0.968,1
leapForward,0.337,0,0.344,1,20,0.743,0.959,1
pcaNNet,0.262,0,0.346644710578842,1,18,0.426,0.562,0.83
leapBackward,0.338,0,0.354,1,20,0.743,0.964,1
rf,0.361,0,0.363478021978022,0.925696594427245,18,0.768,0.788,0.919
knn,0.272,0,0.3695,0.974842767295598,20,0.647,0.695,0.728
avNNet,0.284,0,0.374880952380952,1,20,0.483,0.594,0.978
ranger,0.363,0,0.380666666666667,0.92,18,0.773,0.801,0.895
parRF,0.367,0,0.395241758241758,0.918,18,0.77,0.799,0.902
kknn,0.305,0,0.39551317233809,1,20,0.672,0.714,0.809
gbm,0.334,0,0.398363273453094,0.981132075471698,18,0.721,0.751,0.808
Rborist,0.379,0,0.412840659340659,0.977755308392316,18,0.758,0.789,0.923
leapSeq,0.347,0,0.420166666666667,1,20,0.743,0.963,1
rpart1SE,0.42,0.37,0.4205,0.471,2,0.441,0.451,0.461
bstTree,0.369,0,0.445440622596738,0.993710691823899,20,0.753,0.771,0.809
elm,0.357,0,0.447631868131868,1,20,0.759,0.994,1
svmLinear2,0.33,0,0.463833333333333,1,18,0.817,0.952,1
foba,0.39,0,0.503875249500998,1,16,0.849,0.991,1
cforest,0.332,0,0.506021978021978,1,20,0.656,0.682,0.781
RRF,0.413,0,0.568,0.959752321981424,15,0.785,0.832,0.934
gamSpline,0.406,0,0.587297297297297,1,20,0.935,0.978,1
RRFglobal,0.392,0,0.601301397205589,0.959752321981424,18,0.759,0.78,0.929
xgbLinear,0.405,0,0.626967065868263,1,18,0.759,0.858,0.967
earth,0.496,0,0.642666666666667,1,19,0.933,0.974,0.999
msaenet,0.412,0,0.64987714987715,1,14,0.765,0.976,0.995
treebag,0.688,0.688,0.688,0.688,1,0.688,0.688,0.688
glm.nb,0.755,0.763397371081901,0.763397371081901,0.763397371081901,1,0.763,0.763,0.763
blackboost,0.77,0.724,0.785,0.801,3,0.791,0.795,0.798
bagEarth,0.522,0,0.898649895178197,1,20,0.968,0.981,0.998
enet,0.973,0.973,0.973,0.973,1,0.973,0.973,0.973
cubist,0.519,0,0.991911021233569,1,19,1,1,1
krlsRadial,0.994,0.994,0.994,0.994,1,0.994,0.994,0.994
gamboost,0.995,0.995,0.995,0.995,1,0.995,0.995,0.995
bstSm,0.997,0.997,0.997,0.997,1,0.997,0.997,0.997
blasso,0.998,0.998,0.998,0.998,1,0.998,0.998,0.998
bridge,0.998,0.998,0.998,0.998,1,0.998,0.998,0.998
bagEarthGCV,0.998,0.997,0.998,0.999,3,0.998,0.999,0.999
blassoAveraged,0.999,0.999,0.999,0.999,1,0.999,0.999,0.999
gcvEarth,0.999,0.998,0.999,0.999,3,0.999,0.999,0.999
bayesglm,1,1,1,1,3,1,1,1
glm,1,1,1,1,3,1,1,1
glmStepAIC,1,1,1,1,3,1,1,1
lasso,1,1,1,1,1,1,1,1
lm,1,1,1,1,3,1,1,1
lmStepAIC,1,1,1,1,3,1,1,1
