0.983,0.967,NA,0.079,0.031,Wed Aug 09 23:00:53 2017,avNNet,8,1,basic latent features,ignore,none,range01,2.4077036543,random,223,19,cv,5,6,1,5,12,0.0001789329,TRUE,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:00:55 2017,bag,8,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,
0.984,0.984,5,0.038,0.03,Wed Aug 09 23:01:29 2017,bagEarth,8,1,basic latent features,ignore,none,range01,2.4077036543,random,225,33,cv,5,6,1,5,5,1,,,,,
0.984,0.984,-1,0.038,0.03,Wed Aug 09 23:01:39 2017,bagEarthGCV,8,1,basic latent features,ignore,none,range01,2.4077036543,random,226,10,cv,5,6,1,5,1,,,,,,
1,1,NA,0,0,Wed Aug 09 23:04:06 2017,bam,8,1,basic latent features,ignore,none,range01,2.4077036543,random,227,147,cv,5,6,1,5,TRUE,REML,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:04:07 2017,bartMachine,8,1,basic latent features,ignore,none,range01,1,,,,,,,,,,,,,,,
1,1,-1,0,0,Wed Aug 09 23:04:09 2017,bayesglm,8,1,basic latent features,ignore,none,range01,2.4077036543,random,229,2,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:04:12 2017,blasso,8,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:04:15 2017,blassoAveraged,8,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:04:17 2017,bridge,8,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,
0.99,0.99,382,0.023,0.019,Wed Aug 09 23:05:05 2017,BstLm,8,1,basic latent features,ignore,none,range01,2.4077036543,random,233,47,cv,5,6,1,5,382,0.3957697819,,,,,
0.863,0.831,3,0.406,0.257,Wed Aug 09 23:05:27 2017,cforest,8,1,basic latent features,ignore,none,range01,2.4077036543,random,234,22,cv,5,6,1,5,3,,,,,,
0.794,0.772,0.827,0.549,0.387,Wed Aug 09 23:05:31 2017,ctree,8,1,basic latent features,ignore,none,range01,2.4077036543,random,235,3,cv,5,6,1,5,0.8268927708,,,,,,
0.794,0.772,0.727,0.549,0.387,Wed Aug 09 23:05:35 2017,ctree2,8,1,basic latent features,ignore,none,range01,2.4077036543,random,236,3,cv,5,6,1,5,7,0.7266873124,,,,,
0.999,0.999,1,0.002,0.001,Wed Aug 09 23:06:00 2017,cubist,8,1,basic latent features,ignore,none,range01,2.4077036543,random,237,25,cv,5,6,1,5,30,1,,,,,
