mean subtraction in each row,49,-0.051,-0.013,-0.008,0.001,0.016,-0.006,-0.025,-0.007,-0.004,0,0.008,-0.003
polynomial C1 t C2 t U3^1d3,49,-0.082,-0.009,-0.002,0.006,0.071,-0.004,-0.041,-0.004,-0.001,0.003,0.035,-0.002
basic latent features,50,-0.031,0,0,0.057,0.123,0.029,-0.015,0,0,0.029,0.062,0.014
polynomial C1 t C2,48,-0.047,0,0,0.032,0.245,0.039,-0.023,0,0,0.016,0.122,0.02
polynomial C1 ^ C2,47,-0.082,-0.028,0,0.072,0.308,0.038,-0.041,-0.014,0,0.036,0.154,0.019
polynomial C1 t C2 t U3,48,-0.009,0,0,0.004,0.014,0.002,-0.004,0,0,0.002,0.007,0.001
smoothed switches between -C2-U3 & C2+U3 based on C1,49,-0.13,-0.025,0,0,0.003,-0.022,-0.065,-0.012,0,0,0.001,-0.011
just random,49,-0.004,0,0,0.001,0.02,0.001,-0.002,0,0,0,0.01,0.001
polynomial C1 ^ -2,47,0,0,0,0,0.372,0.046,0,0,0,0,0.186,0.023
median subtraction in each row,48,-0.017,0,0.001,0.04,0.052,0.014,-0.008,0,0.001,0.02,0.026,0.007
polynomial C1 ^ .5,50,-0.062,0.001,0.002,0.007,0.063,0.005,-0.031,0.001,0.001,0.004,0.031,0.003
switches between -C2-U3 & C2+U3 based on C1,49,-0.031,-0.004,0.004,0.007,0.034,0.002,-0.016,-0.002,0.002,0.004,0.017,0.001
polynomial C1 ^ 2,47,-0.086,0,0.011,0.107,0.198,0.053,-0.043,0,0.006,0.054,0.099,0.026
switches between 1 & -1 based on C1,47,-0.002,0.012,0.014,0.046,0.256,0.052,-0.001,0.006,0.007,0.023,0.128,0.026
switches between C2 & -C2 based on C1,49,0,0.029,0.04,0.146,0.35,0.104,0,0.014,0.02,0.073,0.175,0.052
switches between C2+U3 & C4+C5 based on C1,49,0,0.037,0.045,0.074,0.242,0.068,0,0.019,0.022,0.037,0.121,0.034
randomly switches between C1 & C2,49,0,0.11,0.117,0.163,0.42,0.134,0,0.055,0.058,0.081,0.21,0.067
