random,0.001,0.005,0.005,0.013,6,0.01,0.006
poly C1 t C2 t C3,0,0,0.012,0.121,144,0.048,0.012
median subtraction in each row,0,0,0.01,0.265,141,0.024,0.007
composite 2,0,0.218,0.177,0.274,143,0.261,0.241
ifs nested 2 layer,0,0,0.02,0.28,141,0.078,0.019
sparsity 20,0,0,0.008,0.311,142,0.007,0
composite 1,0,0.037,0.081,0.315,142,0.218,0.198
sparsity NA,0,0.1185,0.151,0.42,24,0.308,0.231
ifs -C2-C3 & C2+C3 on C1,0,0.0255,0.072,0.46,144,0.179,0.125
bm C1 ^ -2,0,0,0.04,0.476,143,0.292,0
ifs C2+C3 & C4+C5 on C1,0,0.168,0.158,0.538,145,0.259,0.232
ifs smooth -C2-C3&C2+C3 onC1,0,0.084,0.116,0.539,144,0.303,0.177
needles hay noise,0,0.037,0.086,0.549,106,0.213,0.108
sparsity 0,0,0.456,0.364,0.552,142,0.52,0.502
bm 1dC1,0,0.015,0.095,0.623,143,0.362,0.1
noise in predictors,0,0.6695,0.513,0.727,144,0.706,0.694
poly C1 t C2 t C3^1d3,0,0,0.065,0.787,141,0.181,0.111
poly C1 ^ C2,0,0.141,0.147,0.825,143,0.303,0.236
ifs C1&C2 on random,0,0.406,0.362,0.826,144,0.541,0.489
colinerity middle is correct,0,0.782,0.608,0.839,145,0.818,0.81
bm log(C1),0,0.45,0.441,0.876,142,0.783,0.597
rescale isotonic addition ran bin,0,0.87,0.674,0.925,143,0.895,0.886
rescale isotonic addition,0,0.877,0.694,0.934,144,0.913,0.902
ifs C2 & -C2 on C1,0,0.085,0.128,0.959,143,0.293,0.142
quantilization,0,0.851,0.776,0.972,144,0.935,0.893
ifs C1 & C2 on C1,0,0.2825,0.291,0.974,144,0.553,0.349
bm C1 ^ .5,0,0.722,0.623,0.988,145,0.933,0.783
rescale 4 poly,0,0,0.167,0.996,143,0.522,0.31
bm sin(C2),0,0.76,0.735,0.998,145,0.951,0.888
poly C1 t C2,0,0,0.075,0.999,141,0.221,0.014
needles in haystack,0,0.032,0.165,0.999,105,0.685,0.149
Spread thinly,0,0.8875,0.615,0.999,144,0.998,0.998
mean subtraction in each row,0,0.406,0.501,0.999,145,0.999,0.991
outliers,0,0.517,0.481,1,137,0.63,0.614
ifs C2 & C3t2 on C4g1.5,0,0.472,0.469,1,145,0.709,0.649
bm C1 ^ 2,0,0.052,0.281,1,143,0.893,0.612
basic latent features,0,0.982,0.799,1,139,1,1
ifs 1 & -1 on C1,0,0.3065,0.5,1,146,1,0.892
colinerity unnecessary,0,0.9555,0.754,1,144,1,1
composite complete,0,0.935,0.665,1,141,1,0.999
