ifs smooth -C2-C3&C2+C3 onC1,117,-0.253,-0.152,-0.11,-0.045,0.093,-0.106,-1,-1,-0.445,-0.177,1,-0.5
sparsity NA,19,-0.11,-0.047,-0.018,0.04,0.123,-0.004,-1,-0.161,-0.067,0.598,1,0.149
composite 2,118,-0.115,-0.028,-0.017,-0.009,0.037,-0.022,-1,-0.102,-0.05,-0.019,0.362,-0.128
noise in predictors,120,-0.085,-0.012,-0.008,0,0.044,-0.01,-1,-0.014,-0.006,0,1,-0.028
basic latent features,114,-0.104,0,0,0.027,0.156,0.016,-0.854,0,0,0.017,0.417,0.016
bm 1dC1,116,-0.218,0,0,0.012,0.269,0.02,-1,0,0,0.008,1,0.11
poly C1 t C2,112,-0.042,0,0,0.023,0.155,0.016,-1,0,0,0.295,1,0.171
poly C1 ^ C2,116,-0.202,-0.041,0,0.032,0.284,0.019,-1,-0.379,0,0.212,1,-0.04
poly C1 t C2 t C3,116,-0.182,0,0,0.004,0.086,0.01,-1,0,0,0.046,1,0.145
poly C1 t C2 t C3^1d3,113,-0.225,-0.051,0,0,0.114,-0.03,-1,-0.244,0,0,1,-0.104
ifs 1 & -1 on C1,114,-0.14,-0.085,0,0.035,0.427,0.004,-1,-0.279,0,0.035,1,-0.155
ifs C2+C3 & C4+C5 on C1,118,-0.105,-0.058,0,0.019,0.197,-0.009,-1,-0.107,0,0.046,1,0.007
colinerity unnecessary,116,-0.142,-0.001,0,0.002,0.134,0,-1,-0.001,0,0.002,0.246,-0.024
colinerity middle is correct,117,-0.016,-0.006,0,0.014,0.082,0.007,-0.011,-0.004,0,0.017,0.376,0.019
Spread thinly,117,-0.056,0,0,0.009,0.097,0.011,-0.583,0,0,0.018,1,0.026
needles in haystack,80,-0.058,-0.005,0,0,0.095,-0.001,-1,-0.014,0,0,1,-0.06
sparsity 20,114,-0.031,0,0,0,0.08,0.005,-1,0,0,0,1,0.046
composite 1,117,-0.117,-0.012,0,0.007,0.068,-0.004,-1,-0.032,0,0.021,1,-0.034
composite complete,116,-0.107,-0.006,0,0,0.066,-0.004,-0.402,-0.003,0,0,0.226,-0.017
bm C1 ^ .5,119,-0.146,-0.013,0.001,0.042,0.201,0.015,-0.6,-0.01,0.001,0.032,1,0.021
mean subtraction in each row,115,-0.012,0,0.002,0.032,0.207,0.021,-0.13,0,0.001,0.132,1,0.133
rescale isotonic addition ran bin,117,-0.072,0,0.002,0.019,0.109,0.007,-0.333,0,0.001,0.019,1,0.017
ifs nested 2 layer,114,-0.014,0,0.002,0.028,0.06,0.012,-1,0,0.063,1,1,0.396
median subtraction in each row,116,-0.079,0,0.002,0.012,0.071,0.007,-1,0,0.12,1,1,0.348
random,3,0,0.002,0.003,0.032,0.06,0.021,0,0.5,1,1,1,0.667
rescale isotonic addition,117,-0.027,0.002,0.007,0.013,0.105,0.01,-0.03,0.002,0.004,0.009,0.225,0.014
sparsity 0,117,-0.071,-0.008,0.009,0.074,0.149,0.026,-0.294,-0.007,0.011,0.094,1,0.054
quantilization,118,-0.008,0.006,0.018,0.029,0.151,0.023,-0.005,0.004,0.01,0.017,0.281,0.021
bm sin(C2),118,0,0.012,0.02,0.051,0.164,0.034,0,0.007,0.014,0.039,1,0.038
ifs C2 & -C2 on C1,114,-0.051,0,0.026,0.067,0.284,0.045,-0.269,0,0.115,0.496,1,0.291
ifs -C2-C3 & C2+C3 on C1,115,-0.059,0,0.031,0.062,0.246,0.035,-0.436,0,0.104,0.18,0.512,0.096
ifs C1&C2 on random,117,-0.043,0.003,0.032,0.052,0.345,0.038,-0.144,0.006,0.052,0.073,1,0.068
bm C1 ^ 2,114,-0.042,0,0.034,0.089,0.328,0.063,-0.059,0,0.034,0.185,1,0.221
needles hay noise,11,0,0.021,0.05,0.109,0.152,0.063,0,0.13,0.27,0.37,0.624,0.265
ifs C1 & C2 on C1,115,-0.097,0.032,0.089,0.172,0.369,0.102,-0.338,0.194,1,1,1,0.605
outliers,106,-0.062,0,0.143,0.589,0.621,0.259,-0.157,0,0.164,1,1,0.483
bm log(C1),116,-0.027,0.151,0.185,0.211,0.287,0.171,-1,0.189,0.226,0.271,1,0.262
rescale 4 poly,116,-0.02,0.24,0.276,0.328,0.397,0.268,-0.032,0.418,0.513,0.654,1,0.525
ifs C2 & C3t2 on C4g1.5,118,0,0.229,0.282,0.391,0.591,0.306,0,0.324,0.647,0.738,1,0.569
bm C1 ^ -2,115,-0.247,0,0.407,0.432,0.476,0.241,-1,0,1,1,1,0.518
