dnn,0.024,0,0,0.716666666666667,75,0.002,0.012,0.107
qrf,0.195,0,0,1,74,0.411,0.526,0.794
superpc,0.163,0,0,1,35,0.206,0.527,0.802
krlsPoly,0.056,0,0.0233262626873217,0.8,74,0.074,0.131,0.224
WM,0.126,0,0.0361305361305361,0.816666666666667,72,0.169,0.309,0.371
relaxo,0.254,0,0.143611670020121,1,72,0.529,0.728,0.907
evtree,0.217,0,0.145522388059701,1,75,0.397,0.479,0.609
pcr,0.281,0,0.148202944942382,1,72,0.536,0.771,0.926
SBC,0.227,0,0.153968945518956,0.712,20,0.479,0.551,0.567
rpart,0.231,0,0.188397020134927,1,76,0.434,0.5,0.627
ctree2,0.228,0,0.190721649484536,1,77,0.405,0.542,0.676
rpart2,0.209,0,0.200643776824034,0.875125881168177,73,0.433,0.492,0.612
ctree,0.232,0,0.210526315789474,1,77,0.425,0.542,0.676
knn,0.226,0,0.255857142857143,1,74,0.412,0.492,0.643
BstLm,0.311,0,0.329452852153667,0.997,75,0.596,0.754,0.871
kknn,0.245,0,0.331,1,74,0.439,0.474,0.59
avNNe,0.335,0.335,0.335,0.335,1,0.335,0.335,0.335
xgbTree,0.271,0,0.356088422630199,0.893,76,0.514,0.6,0.721
avNNet,0.361,0,0.363946202263682,1,70,0.62,0.834,0.93
pcaNNet,0.339,0,0.364795982005505,0.975352112676056,74,0.593,0.827,0.934
cforest,0.306,0,0.370332996972755,0.993,77,0.529,0.571,0.743
glm.nb,0.376,0,0.385,1,27,0.686,0.89,1
nnet,0.369,0,0.387361723446894,1,72,0.638,0.843,0.94
xgbLinear,0.391,0,0.419935909885415,1,76,0.674,0.799,0.95
rf,0.369,0,0.422072928144111,1,74,0.622,0.697,0.847
parRF,0.374,0,0.430876513173949,0.999,74,0.609,0.708,0.84
lars2,0.37,0,0.432896064581231,1,71,0.758,0.927,0.992
Rborist,0.39,0,0.43944604272065,1,74,0.64,0.74,0.909
blasso,0.372,0,0.445084870848708,1,74,0.782,0.939,0.981
ranger,0.369,0,0.445190466942263,0.999,74,0.625,0.719,0.846
elm,0.386,0,0.462006079027356,1,75,0.797,0.919,1
ridge,0.393,0,0.47373715783924,1,74,0.81,0.942,1
icr,0.399,0,0.477146449808447,1,74,0.804,0.937,1
RRFglobal,0.388,0,0.479264812347208,0.999,74,0.643,0.717,0.893
gbm,0.355,0,0.491745283018868,1,71,0.602,0.707,0.828
widekernelpls,0.4,0,0.493362163485453,1,72,0.838,0.948,0.998
kernelpls,0.405,0,0.498512564602597,1,72,0.835,0.947,1
simpls,0.403,0,0.503184713375796,1,72,0.835,0.948,0.998
plsRglm,0.413,0,0.514649681528662,1,73,0.885,0.969,1
leapBackward,0.402,0,0.518665840208609,1,72,0.789,0.935,0.999
leapSeq,0.402,0,0.52109872611465,1,72,0.786,0.942,0.999
spikeslab,0.412,0,0.52484076433121,1,73,0.845,0.962,1
leapForward,0.405,0,0.531289808917197,1,72,0.789,0.949,0.999
svmLinear3,0.374,0,0.534844953712695,0.978855721393035,74,0.733,0.815,0.906
RRF,0.434,0,0.5395,1,64,0.698,0.819,0.94
spls,0.43,0,0.539580908032596,1,74,0.867,0.977,1
gam,0.149,0.56015037593985,0.56015037593985,0.56015037593985,1,0.56,0.56,0.56
enet,0.423,0,0.562281722933644,1,75,0.906,0.94,0.978
glmboost,0.422,0,0.567222933643772,1,74,0.789,0.928,0.988
lars,0.435,0,0.568566619458265,1,74,0.915,0.96,0.979
glmnet,0.442,0,0.571209172259508,0.988805970149254,72,0.926,0.954,0.97
svmLinear2,0.426,0,0.578516716964623,1,74,0.858,0.928,0.948
lasso,0.434,0,0.578671974522293,1,74,0.897,0.952,0.991
msaenet,0.462,0,0.599649888143177,1,34,0.883,0.94,0.994
ppr,0.473,0,0.604,1,72,0.94,0.98,1
gamSpline,0.461,0,0.6105,1,74,0.936,0.972,1
rlm,0.454,0,0.615763157894737,1,72,0.907,0.969,1
gamboost,0.484,0,0.632,1,73,0.955,0.985,0.996
krlsRadial,0.473,0,0.63208836689038,1,74,0.895,0.959,0.996
earth,0.462,0,0.670534813319879,1,66,0.887,0.942,0.961
foba,0.486,0,0.688688688688689,1,63,0.924,0.988,1
bagEarth,0.581,0,0.780020181634712,1,71,0.923,0.959,0.985
cubist,0.613,0,0.911255411255411,1,71,0.982,0.995,1
