bm C1 ^ 2,0,0,0,0,1,0,0
random,0,0.001,0.002,0.005,3,0.004,0.003
needles hay noise,0,0.031,0.045,0.153,9,0.114,0.067
composite 1,0,0.064,0.064,0.175,67,0.14,0.085
poly C1 t C2 t C3,0,0,0.005,0.178,56,0,0
sparsity 20,0,0,0.006,0.191,61,0,0
median subtraction in each row,0,0,0.028,0.206,74,0.066,0.049
ifs nested 2 layer,0,0,0.014,0.209,73,0.033,0.005
ifs C2+C3 & C4+C5 on C1,0,0.118,0.106,0.278,74,0.192,0.145
composite 2,0,0.143,0.159,0.345,67,0.324,0.247
ifs smooth -C2-C3&C2+C3 onC1,0,0.002,0.077,0.409,74,0.208,0.141
sparsity NA,0,0.103,0.128,0.433,10,0.287,0.152
poly C1 ^ C2,0,0,0.037,0.462,58,0.107,0
bm C1 ^ -2,0,0,0.073,0.476,67,0.476,0
sparsity 0,0,0.492,0.334,0.534,58,0.521,0.504
ifs -C2-C3 & C2+C3 on C1,0,0.047,0.1,0.642,74,0.23,0.163
poly C1 t C2 t C3^1d3,0,0.123,0.139,0.717,74,0.295,0.197
noise in predictors,0,0.5745,0.49,0.726,74,0.709,0.66
ifs C1&C2 on random,0,0.3415,0.337,0.761,74,0.547,0.403
poly C1 t C2,0,0,0.058,0.768,55,0.162,0.024
bm 1dC1,0,0.02,0.086,0.803,58,0.262,0.11
colinerity middle is correct,0.004,0.788,0.645,0.822,74,0.81,0.798
ifs C1 & C2 on C1,0,0.3055,0.27,0.87,74,0.407,0.322
rescale 4 poly,0,0.416,0.408,0.883,74,0.627,0.441
rescale isotonic addition ran bin,0,0.861,0.67,0.917,74,0.894,0.884
rescale isotonic addition,0,0.873,0.683,0.943,74,0.901,0.882
quantilization,0,0.872,0.769,0.948,62,0.933,0.902
bm log(C1),0.023,0.526,0.485,0.962,67,0.729,0.565
bm C1 ^ .5,0,0.662,0.61,0.977,67,0.919,0.802
ifs C2 & C3t2 on C4g1.5,0.002,0.514,0.482,0.98,74,0.673,0.557
needles in haystack,0,0.058,0.211,0.998,49,0.934,0.188
bm sin(C2),0,0.774,0.753,0.999,59,0.961,0.9
Spread thinly,0,0.957,0.668,0.999,73,0.998,0.998
mean subtraction in each row,0,0.5805,0.546,0.999,74,0.999,0.999
ifs C2 & -C2 on C1,0,0.023,0.12,1,74,0.345,0.159
outliers,0,0.6,0.561,1,73,0.744,0.644
basic latent features,0.055,0.998,0.817,1,59,1,1
ifs 1 & -1 on C1,0,0,0.298,1,74,1,0.827
colinerity unnecessary,0,0.972,0.767,1,74,1,1
composite complete,0,0.968,0.69,1,74,1,1
