ifs smooth -C2-C3&C2+C3 onC1,73,-0.213,-0.154,-0.117,-0.079,0,-0.111,-1,-0.431,-0.296,-0.13,0,-0.315
composite 1,66,-0.075,-0.068,-0.04,0.021,0.066,-0.026,-0.742,-0.228,-0.128,0.036,1,-0.076
composite 2,66,-0.069,-0.033,-0.02,-0.015,0.024,-0.022,-1,-0.094,-0.055,-0.039,0.123,-0.099
bm C1 ^ .5,66,-0.081,-0.027,-0.006,0.006,0.051,-0.006,-0.222,-0.021,-0.003,0.004,0.205,-0.007
rescale isotonic addition ran bin,73,-0.031,-0.003,-0.001,0.02,0.081,0.01,-0.023,-0.002,-0.001,0.021,1,0.03
colinerity middle is correct,74,-0.032,-0.004,-0.001,0.027,0.08,0.009,-0.062,-0.002,-0.001,0.027,0.108,0.008
basic latent features,69,-0.036,0,0,0.021,0.154,0.02,-0.03,0,0,0.016,0.378,0.019
bm C1 ^ 2,20,-0.005,0,0,0.018,0.096,0.014,-0.006,0,0,0.023,1,0.08
bm C1 ^ -2,69,0,0,0,0,0.278,0.016,0,0,0,0,1,0.072
bm 1dC1,61,-0.12,0,0,0.076,0.222,0.038,-0.347,0,0,1,1,0.302
poly C1 t C2,58,-0.059,0,0,0.005,0.062,0.004,-0.149,0,0,0.03,1,0.149
poly C1 t C2 t C3,58,-0.038,0,0,0.106,0.189,0.04,-0.044,0,0,1,1,0.362
ifs 1 & -1 on C1,74,-0.152,-0.078,0,0.106,0.445,0.041,-1,-1,0,0.096,1,-0.204
ifs nested 2 layer,73,-0.001,0,0,0.023,0.078,0.013,-0.02,0,0,1,1,0.386
mean subtraction in each row,73,-0.018,0,0,0.012,0.09,0.01,-1,0,0,0.026,1,0.036
median subtraction in each row,73,-0.082,0,0,0.023,0.078,0.008,-1,0,0,0.813,1,0.234
rescale 4 poly,73,-0.14,0,0,0.08,0.452,0.069,-1,0,0,0.126,1,0.067
colinerity unnecessary,73,-0.061,-0.001,0,0.007,0.088,0.008,-0.111,-0.001,0,0.004,1,0.03
Spread thinly,74,-0.062,-0.001,0,0.008,0.072,0.005,-1,-0.001,0,0.012,1,0.048
needles in haystack,51,-0.053,-0.006,0,0.017,0.138,0.01,-1,-0.004,0,0.094,1,0.074
sparsity 0,64,-0.074,-0.013,0,0.004,0.053,-0.003,-0.385,-0.018,0,0.003,0.09,-0.012
sparsity 20,61,-0.057,0,0,0,0.016,-0.003,-1,0,0,0,1,-0.078
composite complete,73,-0.113,-0.018,0,0,0.085,-0.012,-1,-0.016,0,0,0.216,-0.046
needles hay noise,42,-0.029,-0.007,0,0.028,0.073,0.009,-1,-0.035,0,0.186,1,0.049
quantilization,58,-0.044,-0.006,0.002,0.005,0.019,-0.001,-0.039,-0.004,0.001,0.003,0.1,0.001
noise in predictors,73,-0.049,-0.003,0.003,0.012,0.067,0.003,-1,-0.003,0.002,0.01,1,-0.017
ifs -C2-C3 & C2+C3 on C1,73,-0.066,-0.005,0.003,0.014,0.134,0.007,-1,-0.029,0.013,0.061,1,-0.055
poly C1 t C2 t C3^1d3,67,-0.019,0,0.007,0.122,0.217,0.061,-0.063,0,1,1,1,0.532
ifs C2 & -C2 on C1,73,-0.067,-0.026,0.009,0.06,0.236,0.025,-1,-0.256,0.033,0.212,1,-0.002
rescale isotonic addition,73,-0.03,0.004,0.012,0.015,0.059,0.011,-0.039,0.002,0.007,0.011,1,0.023
sparsity NA,10,-0.054,-0.032,0.014,0.058,0.072,0.013,-0.391,-0.082,0.041,0.318,0.63,0.087
outliers,73,-0.048,0,0.018,0.085,0.584,0.05,-0.05,0,0.019,0.096,1,0.079
bm sin(C2),63,-0.05,0.013,0.025,0.048,0.144,0.033,-0.171,0.008,0.018,0.032,0.166,0.022
ifs C1 & C2 on C1,73,-0.046,0.005,0.025,0.063,0.345,0.043,-0.241,0.005,0.031,0.062,1,0.081
ifs C2+C3 & C4+C5 on C1,73,-0.112,-0.001,0.043,0.069,0.269,0.036,-0.5,-0.031,0.111,0.181,1,0.121
ifs C1&C2 on random,73,-0.023,0.025,0.061,0.106,0.352,0.077,-0.6,0.04,0.112,0.193,0.62,0.135
bm log(C1),66,-0.012,0.004,0.088,0.227,0.313,0.113,-0.029,0.005,0.098,0.251,1,0.193
ifs C2 & C3t2 on C4g1.5,73,0,0.062,0.14,0.203,0.413,0.138,0,0.077,0.17,0.277,1,0.207
poly C1 ^ C2,65,0,0.072,0.198,0.25,0.337,0.173,0,0.187,0.414,0.806,1,0.48
