ifs smooth -C2-C3&C2+C3 onC1,147,-0.213,-0.118,-0.047,0,0.174,-0.052,-1,-0.314,-0.114,0,1,-0.132
composite 1,133,-0.083,-0.067,-0.044,0,0.066,-0.033,-1,-0.327,-0.178,0,1,-0.166
sparsity NA,20,-0.085,-0.036,-0.016,0.019,0.072,-0.008,-1,-0.15,-0.046,0.046,0.63,-0.072
composite 2,133,-0.069,-0.023,-0.015,0.015,0.051,-0.008,-1,-0.065,-0.038,0.047,0.75,-0.035
bm C1 ^ .5,133,-0.121,-0.028,-0.005,0.008,0.17,-0.006,-1,-0.022,-0.004,0.005,0.205,-0.021
colinerity middle is correct,148,-0.058,-0.01,-0.001,0.022,0.081,0.007,-0.199,-0.007,-0.001,0.024,1,0.018
basic latent features,128,-0.05,0,0,0.022,0.173,0.019,-0.068,0,0,0.02,0.599,0.025
bm C1 ^ 2,21,-0.005,0,0,0.016,0.096,0.013,-0.006,0,0,0.016,1,0.076
bm C1 ^ -2,136,-0.235,0,0,0,0.476,0.038,-1,0,0,0,1,0.088
poly C1 t C2,113,-0.059,0,0,0.006,0.186,0.013,-0.257,0,0,0.078,1,0.186
poly C1 t C2 t C3,114,-0.18,0,0,0.001,0.189,0.018,-1,0,0,0.009,1,0.105
ifs 1 & -1 on C1,148,-0.28,0,0,0.006,0.457,0.021,-1,0,0,0.003,1,-0.118
ifs nested 2 layer,146,-0.034,0,0,0.009,0.122,0.009,-1,0,0,0.569,1,0.246
mean subtraction in each row,147,-0.041,0,0,0.022,0.141,0.014,-1,0,0,0.081,1,0.067
median subtraction in each row,147,-0.102,0,0,0.021,0.078,0.006,-1,0,0,0.272,1,0.186
rescale isotonic addition ran bin,147,-0.059,-0.003,0,0.017,0.159,0.01,-0.48,-0.002,0,0.015,1,0.026
noise in predictors,147,-0.082,-0.018,0,0.012,0.11,-0.001,-1,-0.02,0,0.011,1,0.007
colinerity unnecessary,147,-0.061,0,0,0.007,0.131,0.008,-0.472,0,0,0.004,1,0.021
Spread thinly,147,-0.098,0,0,0.018,0.097,0.009,-1,0,0,0.024,1,0.066
needles in haystack,100,-0.053,-0.004,0,0.008,0.138,0.006,-1,-0.003,0,0.054,1,0.047
sparsity 20,122,-0.106,-0.004,0,0,0.016,-0.012,-1,-0.534,0,0,1,-0.231
composite complete,147,-0.113,0,0,0.007,0.085,0.002,-1,0,0,0.01,1,0.008
needles hay noise,51,-0.029,-0.006,0,0.023,0.073,0.008,-1,-0.029,0,0.141,1,0.034
random,3,0,0,0.001,0.002,0.003,0.001,0,0.214,0.429,0.714,1,0.476
sparsity 0,122,-0.082,-0.011,0.002,0.021,0.077,-0.001,-0.794,-0.017,0.002,0.022,0.09,-0.027
ifs -C2-C3 & C2+C3 on C1,147,-0.067,0,0.002,0.022,0.145,0.012,-1,0,0.007,0.098,1,-0.004
bm 1dC1,119,-0.12,0,0.002,0.076,0.362,0.051,-1,0,0.045,1,1,0.436
quantilization,120,-0.044,-0.001,0.003,0.01,0.113,0.007,-0.039,-0.001,0.002,0.006,0.629,0.015
poly C1 t C2 t C3^1d3,141,-0.168,0,0.008,0.102,0.322,0.049,-1,0,0.126,1,1,0.389
bm sin(C2),122,-0.05,0.001,0.012,0.032,0.208,0.024,-0.171,0.001,0.007,0.023,0.317,0.022
rescale isotonic addition,147,-0.03,0.006,0.014,0.018,0.104,0.015,-0.084,0.005,0.008,0.013,1,0.029
ifs C2 & -C2 on C1,147,-0.067,0,0.017,0.08,0.284,0.038,-1,0,0.074,0.446,1,0.162
outliers,146,-0.048,0.007,0.034,0.118,0.625,0.104,-0.05,0.006,0.03,0.149,1,0.184
poly C1 ^ C2,123,-0.057,0,0.034,0.208,0.337,0.097,-1,0,0.068,0.531,1,0.285
ifs C2+C3 & C4+C5 on C1,147,-0.112,0,0.043,0.076,0.269,0.042,-1,0,0.139,0.569,1,0.273
ifs C1&C2 on random,147,-0.076,0.023,0.053,0.086,0.455,0.066,-0.6,0.032,0.082,0.16,0.62,0.109
ifs C1 & C2 on C1,147,-0.046,0.019,0.071,0.199,0.407,0.102,-1,0.023,0.134,0.483,1,0.274
rescale 4 poly,147,-0.168,0,0.147,0.292,0.452,0.151,-1,0,0.197,0.53,1,0.245
bm log(C1),133,-0.025,0.027,0.177,0.234,0.313,0.142,-0.054,0.051,0.208,0.295,1,0.254
ifs C2 & C3t2 on C4g1.5,147,0,0.106,0.187,0.233,0.439,0.177,0,0.148,0.244,0.338,1,0.267
