name,mean,min,median,max,count,70%,80%,90%
SL.glm.interaction,-3,-3,-3,-3,1,-3,-3,-3
superpc,-2.661,-3,-3,-0.551,93,-3,-2.092,-1.706
relaxo,-2.325,-3,-3,0.2,93,-2.13,-1.084,-0.598
pcaNNet,-1.772,-3,-2.167,0.513,94,-0.393,-0.109,0.084
avNNet,-1.723,-3,-2.167,0.359,96,-0.368,-0.077,0.122
nnet,-1.773,-3,-2.167,0.254,94,-0.488,-0.043,0.114
SL.step,-1.797,-1.797,-1.797,-1.797,1,-1.797,-1.797,-1.797
SL.nnls,-1.233,-1.233,-1.233,-1.233,1,-1.233,-1.233,-1.233
glm.nb,-1.393,-3,-1.184,0.288,78,-0.449,-0.395,-0.172
SL.polymars,-1.074,-1.074,-1.074,-1.074,1,-1.074,-1.074,-1.074
qrf,-0.992,-2.667,-1,0.113,89,-0.667,-0.5,-0.333
rlm,-1.267,-3,-0.974,0.392,92,-0.432,-0.304,-0.074
gamSpline,-1.303,-3,-0.865,0.209,89,-0.535,-0.281,0.025
glm,-1.23,-3,-0.816,0.188,95,-0.462,-0.279,-0.094
lm,-1.223,-3,-0.812,0.188,94,-0.459,-0.278,-0.094
SL.xgboost,-0.689,-0.689,-0.689,-0.689,1,-0.689,-0.689,-0.689
gaussprLinear,-0.926,-3,-0.569,0.211,62,-0.222,-0.109,0.094
h2oAutoml 100,-0.56,-0.56,-0.56,-0.56,1,-0.56,-0.56,-0.56
glmStepAIC,-0.805,-3,-0.518,0.4,95,-0.134,-0.018,0.067
SL.glm,-0.462,-0.462,-0.462,-0.462,1,-0.462,-0.462,-0.462
SL.lm,-0.462,-0.462,-0.462,-0.462,1,-0.462,-0.462,-0.462
SL.speedglm,-0.462,-0.462,-0.462,-0.462,1,-0.462,-0.462,-0.462
SL.speedlm,-0.462,-0.462,-0.462,-0.462,1,-0.462,-0.462,-0.462
SL.gbm,-0.453,-0.453,-0.453,-0.453,1,-0.453,-0.453,-0.453
nnls,-1.206,-3,-0.42,0.266,94,-0.08,-0.004,0.044
SL.bartMachine,-0.402,-0.402,-0.402,-0.402,1,-0.402,-0.402,-0.402
lmStepAIC,-0.721,-3,-0.376,0.4,70,-0.119,0.006,0.08
ppr,-0.472,-2.003,-0.36,0.579,94,-0.064,0.117,0.242
SL.caret.rpart,-0.35,-0.35,-0.35,-0.35,1,-0.35,-0.35,-0.35
bayesglm,-0.48,-2.542,-0.336,0.415,93,-0.057,0.097,0.2
SL.earth,-0.327,-0.327,-0.327,-0.327,1,-0.327,-0.327,-0.327
gcvEarth,-0.35,-1.454,-0.324,0.317,95,-0.179,-0.073,0.054
SL.nnet,-0.306,-0.306,-0.306,-0.306,1,-0.306,-0.306,-0.306
SL.stepAIC,-0.254,-0.254,-0.254,-0.254,1,-0.254,-0.254,-0.254
SL.ipredbagg,-0.239,-0.239,-0.239,-0.239,1,-0.239,-0.239,-0.239
elm,-0.287,-3,-0.23,0.336,95,-0.088,-0.031,0.074
SL.caret,-0.187,-0.187,-0.187,-0.187,1,-0.187,-0.187,-0.187
SL.glmnet,-0.187,-0.187,-0.187,-0.187,1,-0.187,-0.187,-0.187
SL.biglasso,-0.186,-0.186,-0.186,-0.186,1,-0.186,-0.186,-0.186
rpart1SE,-0.228,-1.324,-0.186,0.468,93,-0.029,0.109,0.162
SL.mean,-0.183,-0.183,-0.183,-0.183,1,-0.183,-0.183,-0.183
SL.rpartPrune,-0.183,-0.183,-0.183,-0.183,1,-0.183,-0.183,-0.183
simpls,-0.708,-3,-0.183,0.437,93,-0.007,0.065,0.141
gamboost,-0.14,-0.753,-0.172,0.519,94,-0.025,0.054,0.168
leapForward,-0.237,-2.073,-0.168,0.355,89,0.008,0.081,0.201
rvmLinear,-0.837,-3,-0.165,0.555,61,0.024,0.104,0.225
spikeslab,-0.144,-1.006,-0.158,0.292,76,0.042,0.124,0.179
svmLinear,-0.227,-1.571,-0.156,0.415,61,0.063,0.147,0.304
SL.cforest,-0.155,-0.155,-0.155,-0.155,1,-0.155,-0.155,-0.155
leapSeq,-0.216,-1.304,-0.154,0.325,70,-0.03,0.042,0.18
rpart,-0.212,-0.933,-0.142,0.286,93,-0.089,-0.075,-0.007
M5Rules,-0.225,-1.556,-0.14,0.631,94,0.007,0.099,0.153
SL.ranger,-0.139,-0.139,-0.139,-0.139,1,-0.139,-0.139,-0.139
dnn,-0.248,-3,-0.139,0,95,-0.097,-0.057,-0.024
M5,-0.173,-1.051,-0.132,0.319,94,0.028,0.08,0.136
evtree,-0.157,-0.698,-0.125,0.205,85,-0.008,0.08,0.109
rpart2,-0.177,-0.84,-0.122,0.509,93,-0.005,0.103,0.162
msaenet,-0.177,-1.217,-0.119,0.344,59,0.019,0.094,0.184
WM,-0.158,-0.884,-0.119,0.425,93,0.039,0.135,0.197
foba,-0.162,-1.198,-0.118,0.424,95,-0.029,0.054,0.136
earth,-0.135,-1.14,-0.117,0.358,95,-0.04,0.051,0.142
null,-0.116,-0.183,-0.114,0,94,-0.087,-0.077,-0.044
spls,-0.298,-3,-0.114,0.359,93,0.013,0.076,0.178
SL.randomForest,-0.11,-0.11,-0.11,-0.11,1,-0.11,-0.11,-0.11
rvmRadial,-0.108,-0.573,-0.11,0.275,61,-0.028,0.032,0.133
