name,mean,min,median,max,count,70%,80%,90%
superpc_asis_2,-2.876,-3,-3,-1.741,20,-3,-3,-2.87
relaxo_YeoJohnson_2,-2.905,-3,-3,-1.203,19,-3,-3,-3
superpc_YeoJohnson_2,-2.908,-3,-3,-1.25,19,-3,-3,-3
superpc_quantile_2,-2.907,-3,-3,-1.236,19,-3,-3,-3
avNNet_all_2,-3,-3,-3,-3,2,-3,-3,-3
elm_all_2,-3,-3,-3,-3,1,-3,-3,-3
gamSpline_all_2,-3,-3,-3,-3,1,-3,-3,-3
glm_all_2,-3,-3,-3,-3,1,-3,-3,-3
glmStepAIC_all_2,-3,-3,-3,-3,1,-3,-3,-3
icr_all_2,-3,-3,-3,-3,1,-3,-3,-3
lars_all_2,-3,-3,-3,-3,1,-3,-3,-3
lasso_all_2,-3,-3,-3,-3,1,-3,-3,-3
lm_all_2,-3,-3,-3,-3,1,-3,-3,-3
nnet_all_2,-3,-3,-3,-3,1,-3,-3,-3
pcaNNet_all_2,-3,-3,-3,-3,1,-3,-3,-3
superpc_all_2,-3,-3,-3,-3,1,-3,-3,-3
SL.glm.interaction_range01_1,-3,-3,-3,-3,1,-3,-3,-3
superpc_range01_2,-3,-3,-3,-3,3,-3,-3,-3
nnls_YeoJohnson_2,-2.789,-3,-3,-1.048,19,-3,-2.973,-2.342
relaxo_asis_2,-2.849,-3,-3,-1.722,20,-2.993,-2.941,-2.566
avNNet_range01_2,-2.9,-3,-3,-2.6,4,-2.96,-2.84,-2.72
nnet_range01_2,-2.9,-3,-3,-2.6,4,-2.96,-2.84,-2.72
pcaNNet_range01_2,-2.9,-3,-3,-2.6,4,-2.96,-2.84,-2.72
rvmLinear_YeoJohnson_2,-2.623,-3,-3,-1.044,19,-2.567,-2.279,-1.601
superpc_range01_1,-2.64,-3,-3,-0.551,19,-2.719,-2.183,-2.007
avNNet_YeoJohnson_2,-2.646,-3,-3,-0.5,19,-2.627,-2.167,-2.134
nnet_YeoJohnson_2,-2.646,-3,-3,-0.5,19,-2.627,-2.167,-2.134
avNNet_quantile_2,-2.646,-3,-3,-0.5,19,-2.627,-2.167,-2.134
nnet_quantile_2,-2.646,-3,-3,-0.5,19,-2.627,-2.167,-2.134
pcaNNet_YeoJohnson_2,-2.646,-3,-3,-0.5,19,-2.628,-2.167,-2.134
pcaNNet_quantile_2,-2.646,-3,-3,-0.5,19,-2.627,-2.167,-2.134
nnet_asis_2,-2.509,-3,-3,-0.875,20,-2.167,-2.134,-1.764
pcaNNet_asis_2,-2.509,-3,-3,-0.875,20,-2.167,-2.134,-1.764
relaxo_quantile_2,-2.527,-3,-3,-0.292,19,-2.436,-2.113,-1.525
nnls_asis_2,-2.64,-3,-3,-1.255,20,-2.839,-1.974,-1.72
relaxo_range01_2,-2.089,-3,-3,-0.267,3,-1.907,-1.36,-0.814
relaxo_range01_1,-2.131,-3,-3,-0.344,19,-1.269,-0.698,-0.563
glm.nb_range01_1,-1.835,-3,-2.52,0.288,11,-1.133,-0.42,-0.055
gamSpline_range01_1,-1.721,-3,-2.217,0.209,18,-0.505,-0.432,0.004
avNNet_asis_2,-2.293,-3,-2.167,-0.875,20,-1.95,-1.766,-1.464
rlm_asis_2,-1.898,-3,-1.852,-0.15,20,-1.488,-1.025,-0.677
gamSpline_YeoJohnson_2,-1.737,-3,-1.831,0.085,19,-0.686,-0.52,-0.101
SL.step_range01_1,-1.797,-1.797,-1.797,-1.797,1,-1.797,-1.797,-1.797
glm.nb_asis_2,-1.707,-3,-1.778,-0.055,20,-1.111,-0.483,-0.43
ppr_all_2,-1.773,-1.773,-1.773,-1.773,1,-1.773,-1.773,-1.773
rlm_range01_1,-1.597,-3,-1.61,0.083,19,-0.637,-0.308,-0.073
glm_asis_2,-1.61,-3,-1.601,-0.081,20,-1.049,-0.493,-0.321
lm_asis_2,-1.61,-3,-1.601,-0.081,20,-1.049,-0.493,-0.321
nnls_all_2,-1.57,-1.57,-1.57,-1.57,1,-1.57,-1.57,-1.57
superpc_quantile_1,-1.443,-1.834,-1.531,-0.718,12,-1.303,-1.25,-0.814
qrf_all_2,-1.5,-1.5,-1.5,-1.5,1,-1.5,-1.5,-1.5
rlm_YeoJohnson_2,-1.503,-3,-1.424,0.21,19,-0.513,-0.093,-0.071
kernelpls_asis_2,-1.232,-3,-1.265,0.135,20,-0.243,-0.069,0.045
SL.nnls_range01_1,-1.233,-1.233,-1.233,-1.233,1,-1.233,-1.233,-1.233
glm.nb_YeoJohnson_2,-1.585,-3,-1.173,-0.021,19,-0.445,-0.41,-0.197
SL.polymars_range01_1,-1.074,-1.074,-1.074,-1.074,1,-1.074,-1.074,-1.074
qrf_range01_2,-1.15,-2,-1.05,-0.5,4,-0.59,-0.56,-0.53
qrf_asis_2,-0.982,-2.5,-1.042,0,20,-0.5,-0.387,-0.3
gamSpline_asis_2,-1.322,-3,-1.036,0.155,18,-0.622,-0.537,-0.107
qrf_YeoJohnson_2,-1.027,-2.333,-1,0,19,-0.68,-0.56,-0.467
qrf_quantile_2,-1.018,-2.667,-1,0.113,14,-0.65,-0.5,-0.5
qrf_range01_1,-1.029,-2.6,-1,0.113,19,-0.687,-0.5,-0.48
simpls_asis_2,-1.27,-3,-0.982,0.135,20,-0.24,-0.054,0.1
widekernelpls_YeoJohnson_2,-1.351,-3,-0.941,0.209,19,-0.086,-0.04,0.112
glm_range01_1,-1.475,-3,-0.9,-0.07,19,-0.468,-0.351,-0.121
lm_range01_1,-1.475,-3,-0.9,-0.07,19,-0.468,-0.351,-0.121
spls_all_2,-0.888,-0.888,-0.888,-0.888,1,-0.888,-0.888,-0.888
rlm_range01_2,-0.597,-0.936,-0.884,0.029,3,-0.519,-0.336,-0.154
glm_YeoJohnson_2,-1.469,-3,-0.881,-0.06,19,-0.469,-0.326,-0.109
lm_YeoJohnson_2,-1.469,-3,-0.881,-0.06,19,-0.469,-0.326,-0.109
gamSpline_quantile_1,-0.825,-2.001,-0.865,0.019,13,-0.436,-0.255,-0.052
relaxo_quantile_1,-0.789,-1.272,-0.854,-0.183,12,-0.601,-0.505,-0.282
rpart_all_2,-0.837,-0.837,-0.837,-0.837,1,-0.837,-0.837,-0.837
rpart1SE_all_2,-0.837,-0.837,-0.837,-0.837,1,-0.837,-0.837,-0.837
glm.nb_quantile_1,-0.915,-1.839,-0.822,-0.14,5,-0.511,-0.374,-0.257
gcvEarth_all_2,-0.804,-0.804,-0.804,-0.804,1,-0.804,-0.804,-0.804
qrf_quantile_1,-0.773,-1.284,-0.791,-0.165,12,-0.701,-0.691,-0.245
svmLinear_all_2,-0.764,-0.764,-0.764,-0.764,1,-0.764,-0.764,-0.764
svmLinear2_all_2,-0.734,-0.734,-0.734,-0.734,1,-0.734,-0.734,-0.734
rpart2_all_2,-0.731,-0.731,-0.731,-0.731,1,-0.731,-0.731,-0.731
gbm_all_2,-0.704,-0.704,-0.704,-0.704,1,-0.704,-0.704,-0.704
glm_quantile_1,-0.713,-1.723,-0.704,0.087,13,-0.436,-0.268,-0.125
glmStepAIC_range01_1,-1.017,-3,-0.703,0.381,19,-0.296,-0.082,0.035
glmStepAIC_YeoJohnson_2,-1.017,-3,-0.702,0.381,19,-0.298,-0.082,0.034
lmStepAIC_YeoJohnson_2,-1.017,-3,-0.702,0.381,19,-0.298,-0.082,0.034
glmStepAIC_quantile_1,-0.666,-1.446,-0.693,0.334,13,-0.363,-0.242,-0.141
SL.xgboost_range01_1,-0.689,-0.689,-0.689,-0.689,1,-0.689,-0.689,-0.689
glm.nb_quantile_2,-0.894,-3,-0.688,0.141,19,-0.453,-0.331,0.011
gaussprLinear_range01_1,-1.151,-3,-0.678,0.184,19,-0.218,-0.119,-0.044
gaussprLinear_YeoJohnson_2,-1.149,-3,-0.676,0.189,19,-0.196,-0.142,-0.041
gamSpline_quantile_2,-0.801,-2.761,-0.626,0.173,18,-0.463,-0.34,0.056
glm_quantile_2,-0.739,-2.772,-0.622,0.188,19,-0.335,-0.278,0.053
lm_quantile_2,-0.739,-2.772,-0.622,0.188,19,-0.335,-0.278,0.053
bayesglm_quantile_1,-0.644,-1.54,-0.602,0.108,13,-0.398,-0.225,-0.104
bayesglm_quantile_2,-0.675,-2.542,-0.597,0.203,19,-0.279,-0.25,0.063
bayesglm_all_2,-0.58,-0.818,-0.58,-0.342,2,-0.485,-0.437,-0.39
plsRglm_all_2,-0.575,-0.575,-0.575,-0.575,1,-0.575,-0.575,-0.575
gaussprLinear_all_2,-0.57,-0.57,-0.57,-0.57,1,-0.57,-0.57,-0.57
h2oAutoml 100_asis_2,-0.56,-0.56,-0.56,-0.56,1,-0.56,-0.56,-0.56
gaussprLinear_quantile_2,-0.639,-2.4,-0.559,0.211,19,-0.265,-0.235,0.067
lm_quantile_1,-0.616,-1.723,-0.554,0.087,12,-0.289,-0.262,-0.108
evtree_all_2,-0.539,-0.539,-0.539,-0.539,1,-0.539,-0.539,-0.539
lmStepAIC_quantile_1,-0.5,-1.446,-0.529,0.334,12,-0.233,-0.141,0.051
simpls_YeoJohnson_2,-1.139,-3,-0.492,0.068,19,-0.207,-0.118,-0.055
SL.glm_range01_1,-0.462,-0.462,-0.462,-0.462,1,-0.462,-0.462,-0.462
