polynomial C1 ^ .5,48,-0.139,-0.028,-0.018,-0.001,0.066,-0.018,-0.069,-0.014,-0.009,-0.001,0.033,-0.009
basic latent features,209,-0.108,0,0,0.009,0.138,0.005,-0.054,0,0,0.004,0.069,0.003
just random,47,-0.001,0,0,0,0.004,0,0,0,0,0,0.002,0
polynomial C1 t C2 t C3,46,0,0,0,0.012,0.057,0.01,0,0,0,0.006,0.028,0.005
polynomial C1 t C2 t C3^1d3,46,-0.078,0,0,0,0.137,0.001,-0.039,0,0,0,0.068,0
mean subtraction in each row,47,-0.077,-0.005,0,0.014,0.048,-0.003,-0.038,-0.002,0,0.007,0.024,-0.001
median subtraction in each row,47,-0.079,-0.007,0,0,0.01,-0.007,-0.04,-0.004,0,0,0.005,-0.003
smoothed switches between -C2-C3 & C2+C3 based on C1,48,-0.011,0,0,0,0.069,0.002,-0.006,0,0,0,0.034,0.001
switches between -C2-C3 & C2+C3 based on C1,48,-0.046,0,0.007,0.032,0.119,0.014,-0.023,0,0.004,0.016,0.06,0.007
polynomial C1 ^ 2,49,0,0,0.012,0.035,0.26,0.034,0,0,0.006,0.018,0.13,0.017
switches between C2+C3 & C4+C5 based on C1,49,-0.023,0.005,0.025,0.037,0.059,0.023,-0.012,0.003,0.012,0.018,0.03,0.011
randomly switches between C1 & C2,49,-0.005,0.026,0.039,0.058,0.122,0.045,-0.003,0.013,0.019,0.029,0.061,0.022
polynomial C1 t C2,47,-0.021,0.022,0.058,0.091,0.164,0.057,-0.01,0.012,0.029,0.045,0.082,0.028
polynomial C1 ^ C2,48,-0.079,0,0.087,0.294,0.455,0.15,-0.04,0,0.044,0.147,0.228,0.075
switches between C2 & -C2 based on C1,49,-0.045,0.101,0.134,0.175,0.417,0.144,-0.023,0.05,0.067,0.088,0.208,0.072
switches between 1 & -1 based on C1,45,0,0.098,0.135,0.237,0.427,0.172,0,0.049,0.068,0.118,0.214,0.086
polynomial C1 ^ -2,26,0.445,0.456,0.464,0.466,0.477,0.462,0.222,0.228,0.232,0.233,0.238,0.231
