qrf,-1.404,-0.0815,-0.151,1,18,0.407
DENFIS,-0.119,-0.119,-0.119,-0.119,1,-0.119
dnn,-0.112,0,0.026,0.466,20,0.029
neuralnet,-2.415,0.089,0.03,0.986,15,0.773
krlsPoly,0.037,0.037,0.037,0.037,1,0.037
partDSA,-0.55,0.069,0.08,0.73,15,0.259
rpart2,-0.336,0.009,0.088,0.644,17,0.348
evtree,-0.336,0.042,0.122,0.84,19,0.347
rpart,-0.336,0.035,0.155,0.92,18,0.386
svmLinear3,-0.43,0.074,0.162,0.95,18,0.436
relaxo,-0.322,0.0945,0.175,1,18,0.333
ctree2,-0.276,0.14,0.19,1,20,0.421
ctree,-0.276,0.1435,0.201,1,20,0.41
widekernelpls,-0.781,0.089,0.209,1,18,0.583
simpls,-0.781,0.089,0.21,1,18,0.583
nnet,-0.095,0.165,0.239,0.897,18,0.438
gbm,-0.431,0.1825,0.242,0.886,18,0.729
pcaNNet,-0.083,0.175,0.252,0.963,18,0.441
knn,-0.139,0.2295,0.255,0.727,20,0.503
xgbTree,-0.295,0.2485,0.255,0.837,18,0.607
kernelpls,-0.781,0.217,0.257,1,20,0.784
BstLm,-0.345,0.1795,0.267,0.999,20,0.546
pcr,-0.216,0.106,0.271,1,18,0.587
leapForward,-0.469,0.239,0.276,1,20,0.787
glmnet,-0.884,0.29,0.277,0.973,19,0.79
avNNet,-0.069,0.2365,0.278,0.975,20,0.449
leapBackward,-0.471,0.2355,0.282,1,20,0.787
icr,-0.394,0.196,0.283,1,20,0.784
leapSeq,-0.469,0.253,0.289,1,20,0.787
bstTree,-1.147,0.299,0.292,0.92,20,0.751
ppr,-0.427,0.18,0.293,0.999,18,0.965
svmLinear2,-0.302,0.2495,0.294,0.952,18,0.62
kknn,-0.109,0.285,0.296,0.746,20,0.503
glmboost,-0.323,0.2425,0.306,1,20,0.769
lars2,-0.287,0.2035,0.314,1,20,0.768
gamSpline,-0.959,0.3385,0.322,1,20,0.954
cforest,-0.12,0.2895,0.323,1,20,0.654
xgbLinear,-0.707,0.398,0.326,0.958,18,0.751
lars,-0.256,0.2315,0.327,1,20,0.77
elm,-0.379,0.281,0.334,1,20,0.784
rf,-0.125,0.227,0.348,0.918,18,0.78
ranger,-0.136,0.233,0.349,0.92,18,0.79
Rborist,-0.266,0.2735,0.351,0.967,18,0.789
parRF,-0.127,0.2475,0.354,0.918,18,0.789
foba,-0.371,0.3185,0.356,1,16,0.991
msaenet,-0.37,0.3695,0.359,1,14,0.822
RRFglobal,-0.136,0.347,0.377,0.93,18,0.773
RRF,-0.136,0.374,0.401,0.932,15,0.816
rpart1SE,0.37,0.4205,0.42,0.471,2,0.451
earth,-0.299,0.457,0.466,0.999,19,0.929
bagEarth,-0.494,0.5185,0.493,0.999,20,0.944
cubist,-0.113,0.459,0.508,1,19,0.995
treebag,0.688,0.688,0.688,0.688,1,0.688
glm.nb,0.755,0.755,0.755,0.755,1,0.755
blackboost,0.724,0.785,0.77,0.801,3,0.795
enet,0.973,0.973,0.973,0.973,1,0.973
krlsRadial,0.994,0.994,0.994,0.994,1,0.994
gamboost,0.995,0.995,0.995,0.995,1,0.995
bstSm,0.997,0.997,0.997,0.997,1,0.997
bagEarthGCV,0.997,0.998,0.998,0.999,3,0.999
blasso,0.998,0.998,0.998,0.998,1,0.998
bridge,0.998,0.998,0.998,0.998,1,0.998
blassoAveraged,0.999,0.999,0.999,0.999,1,0.999
gcvEarth,0.998,0.999,0.999,0.999,3,0.999
bayesglm,1,1,1,1,3,1
glm,1,1,1,1,3,1
glmStepAIC,1,1,1,1,3,1
lasso,1,1,1,1,1,1
lm,1,1,1,1,3,1
lmStepAIC,1,1,1,1,3,1
