0.335,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNet,8,1,basic latent features,ignore,none,asis,1.127849791,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744823,FALSE,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:26:51 2017,bag,8,1,basic latent features,ignore,none,asis,2,,,,,,,,,,,,,,,
0.983,0.983,5,0.038,0.03,Wed Aug 09 23:27:21 2017,bagEarth,8,1,basic latent features,ignore,none,asis,2.2690738688,random,332,29,cv,5,6,1,5,5,1,,,,,
0.983,0.984,-1,0.037,0.03,Wed Aug 09 23:27:33 2017,bagEarthGCV,8,1,basic latent features,ignore,none,asis,2.2690738688,random,333,12,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:27:38 2017,bam,8,1,basic latent features,ignore,none,asis,5,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:27:39 2017,bartMachine,8,1,basic latent features,ignore,none,asis,1,,,,,,,,,,,,,,,
1,1,-1,NA,NA,Wed Aug 09 23:27:41 2017,bayesglm,8,1,basic latent features,ignore,none,asis,2.2690738688,random,336,2,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:27:44 2017,blasso,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:27:47 2017,blassoAveraged,8,1,basic latent features,ignore,none,asis,2,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:27:50 2017,bridge,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
0.998,0.998,63,0.004,0.004,Wed Aug 09 23:28:48 2017,BstLm,8,1,basic latent features,ignore,none,asis,2.2690738688,random,340,58,cv,5,6,1,5,63,0.2570069495,,,,,
0.861,0.828,5,0.39,0.246,Wed Aug 09 23:29:09 2017,cforest,8,1,basic latent features,ignore,none,asis,2.2690738688,random,341,20,cv,5,6,1,5,5,,,,,,
0.807,0.789,0.769,0.479,0.341,Wed Aug 09 23:29:13 2017,ctree,8,1,basic latent features,ignore,none,asis,2.2690738688,random,342,4,cv,5,6,1,5,0.7686370234,,,,,,
0.807,0.789,0.206,0.479,0.341,Wed Aug 09 23:29:16 2017,ctree2,8,1,basic latent features,ignore,none,asis,2.2690738688,random,343,4,cv,5,6,1,5,6,0.2056423752,,,,,
1,0.999,4,0.001,0.001,Wed Aug 09 23:29:59 2017,cubist,8,1,basic latent features,ignore,none,asis,2.2690738688,random,344,43,cv,5,6,1,5,75,4,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 09 23:30:03 2017,DENFIS,8,1,basic latent features,ignore,none,asis,3,,,,,,,,,,,,,,,
-0.016,-0.01,0.089,2.292,1.797,Wed Aug 09 23:30:08 2017,dnn,8,1,basic latent features,ignore,none,asis,2.2690738688,random,346,5,cv,5,6,1,5,13,5,17,0.0120809318,0.0886200293,,
0.983,0.984,5,0.037,0.03,Wed Aug 09 23:30:11 2017,earth,8,1,basic latent features,ignore,none,asis,2.2690738688,random,347,3,cv,5,6,1,5,5,2,,,,,
1,1,NA,NA,NA,Wed Aug 09 23:30:13 2017,elm,8,1,basic latent features,ignore,none,asis,2.2690738688,random,348,2,cv,5,6,1,5,9,purelin,,,,,
