mean subtraction in each row,54,-0.052,-0.012,-0.012,0,0.016,-0.01,-0.026,-0.006,-0.006,0,0.008,-0.005
basic latent features,55,-0.015,0,0,0.02,0.123,0.013,-0.008,0,0,0.01,0.062,0.006
just random,53,0,0,0,0,0.002,0,0,0,0,0,0.001,0
polynomial C1 ^ -2,55,-0.276,0,0,0,0.453,0.053,-0.138,0,0,0,0.226,0.026
polynomial C1 t C2,55,-0.037,0,0,0.025,0.151,0.019,-0.019,0,0,0.012,0.075,0.01
polynomial C1 t C2 t U3,55,-0.023,-0.001,0,0,0.002,-0.002,-0.012,0,0,0,0.001,-0.001
polynomial C1 t C2 t U3^1d3,54,-0.155,-0.025,0,0.016,0.159,-0.001,-0.078,-0.012,0,0.008,0.08,0
smoothed switches between -C2-U3 & C2+U3 based on C1,54,-0.127,-0.024,0,0,0.006,-0.014,-0.064,-0.012,0,0,0.003,-0.007
polynomial C1 ^ 2,55,0,0,0.011,0.12,0.357,0.07,0,0,0.006,0.06,0.179,0.035
polynomial C1 ^ .5,56,-0.156,0.005,0.014,0.02,0.137,0.016,-0.078,0.002,0.007,0.01,0.068,0.008
switches between -C2-U3 & C2+U3 based on C1,55,-0.017,0.008,0.02,0.028,0.065,0.02,-0.008,0.004,0.01,0.014,0.032,0.01
randomly switches between C1 & C2,55,-0.011,0.014,0.023,0.062,0.276,0.043,-0.005,0.007,0.012,0.032,0.138,0.022
median subtraction in each row,55,-0.01,0.005,0.034,0.044,0.057,0.026,-0.005,0.002,0.017,0.022,0.028,0.013
switches between C2 & -C2 based on C1,55,-0.008,0,0.035,0.102,0.34,0.059,-0.004,0,0.018,0.051,0.17,0.03
switches between 1 & -1 based on C1,54,0,0.043,0.084,0.18,0.337,0.124,0,0.022,0.042,0.09,0.169,0.062
switches between C2+U3 & C4+C5 based on C1,55,0,0.126,0.151,0.152,0.395,0.136,0,0.063,0.076,0.076,0.198,0.068
polynomial C1 ^ C2,56,0.477,0.479,0.479,0.479,0.486,0.479,0.238,0.24,0.24,0.24,0.243,0.24
