switches between -C2-U3 & C2+U3 based on C1,55,-0.036,-0.01,-0.007,0,0.041,-0.005,-0.018,-0.005,-0.003,0,0.021,-0.003
basic latent features,58,-0.029,0,0,0.009,0.067,0.004,-0.015,0,0,0.005,0.034,0.002
just random,54,-0.006,0,0,0,0.008,0,-0.003,0,0,0,0.004,0
polynomial C1 ^ -2,54,-0.119,0,0,0.153,0.453,0.087,-0.06,0,0,0.076,0.226,0.044
polynomial C1 t C2,55,-0.02,0,0,0.026,0.211,0.031,-0.01,0,0,0.014,0.106,0.016
polynomial C1 ^ C2,54,-0.004,0,0,0,0.245,0.016,-0.002,0,0,0,0.122,0.008
polynomial C1 t C2 t U3,54,-0.064,-0.005,0,0,0.01,-0.005,-0.032,-0.002,0,0,0.005,-0.002
polynomial C1 t C2 t U3^1d3,55,-0.073,0,0,0.017,0.111,0.007,-0.037,0,0,0.008,0.056,0.003
mean subtraction in each row,55,-0.044,-0.042,0,0.005,0.03,-0.012,-0.022,-0.021,0,0.002,0.015,-0.006
smoothed switches between -C2-U3 & C2+U3 based on C1,55,-0.123,-0.016,0,0,0,-0.015,-0.062,-0.008,0,0,0,-0.007
polynomial C1 ^ 2,55,-0.008,0,0.002,0.024,0.167,0.022,-0.004,0,0.001,0.012,0.083,0.011
switches between 1 & -1 based on C1,55,-0.026,0,0.005,0.028,0.348,0.037,-0.013,0,0.003,0.014,0.174,0.019
polynomial C1 ^ .5,56,-0.067,0.002,0.013,0.02,0.091,0.015,-0.033,0.001,0.007,0.01,0.045,0.008
median subtraction in each row,55,0,0,0.02,0.036,0.052,0.02,0,0,0.01,0.018,0.026,0.01
switches between C2 & -C2 based on C1,55,0,0.045,0.062,0.172,0.461,0.115,0,0.022,0.031,0.086,0.23,0.057
switches between C2+U3 & C4+C5 based on C1,55,-0.002,0.052,0.095,0.104,0.164,0.08,-0.001,0.026,0.047,0.052,0.082,0.04
randomly switches between C1 & C2,56,0,0.109,0.122,0.15,0.222,0.124,0,0.054,0.062,0.075,0.111,0.062
