0.736,0.542,-0.882,0.204,-1.077,-0.952,-0.148,-0.068,-1.4,1.725,1,0
,-1.515,0.631,0.338,-0.056,0.945,1.229,-0.052,1.568,0.012,1,0
1,0.999,-0.55,-0.454,-0.729,-0.588,0.413,-1.516,-1.131,-0.368,1,0
,-0.116,-0.102,-0.312,0.816,-0.276,1.243,-0.109,-3.312,0.215,1,0
,-0.417,-0.036,-0.19,-0.286,-1.797,-0.39,-0.375,0.217,0.181,1,0
0.518,0.268,-1.447,1.426,0.752,0.439,1.071,2.687,0.722,-1.153,1,0
1.092,1.192,1.551,-0.432,0.031,0.69,1.866,0.589,0.417,-1.116,1,0
,-0.874,-0.693,-0.131,0.099,0.781,-0.277,1.209,-0.728,0.984,1,0
0.292,0.086,-1.293,0.022,-1.239,1.108,-1.604,-1.739,1.395,2.489,1,0
,-1.277,-0.523,0.464,-0.442,-0.519,0.787,-0.815,0.94,-0.464,1,0
,-1.027,-0.189,1.832,-1.521,1.518,-0.686,-1.035,0.005,-1.847,1,0
0.974,0.95,-1.674,0.089,2.329,-0.69,-0.022,-0.756,0.636,-0.496,1,0
,-0.932,0.033,-0.515,0.061,-0.561,-0.94,1.428,-1.862,-1.124,1,0
1.013,1.026,-0.989,-0.697,0.615,-0.282,-0.193,-0.53,0.026,-0.736,1,0
0.809,0.655,0.059,1.525,0.97,-0.213,-2.02,-0.396,1.704,1.583,1,0
1.197,1.432,0.334,-0.198,1.546,-0.565,0.078,-0.83,1.541,0.568,1,0
,-0.139,2.786,0.829,-0.563,0.222,-0.297,-0.018,1.444,-0.784,1,0
0.964,0.929,1.175,0.317,-0.725,-1.99,-1.601,0.436,-0.426,1.826,1,0
1.078,1.162,-0.184,-0.042,1.554,0.677,0.242,1.146,-0.893,0.323,1,0
,-0.649,0.301,-0.198,1.851,-0.124,-0.144,-0.836,1.916,0.816,1,0
,-0.791,-0.279,-0.467,-0.635,0.239,0.277,-0.861,-0.287,-2.04,1,0
,-0.266,-0.257,0.675,-0.664,-1.267,-0.054,0.577,-1.191,0.705,1,0
,-0.482,-0.045,-0.257,-0.792,1.042,-0.016,0.079,-0.82,0.985,1,0
,-0.147,-0.146,-0.598,-0.178,-0.409,1.681,1.374,-1.741,-1.117,1,0
1.224,1.499,0.025,0.564,-0.233,1.322,-0.216,0.662,1.721,1.381,1,0
,-0.294,0.838,-0.738,2.539,0.168,-0.377,-1.044,-3.639,-1.876,1,0
,-1.355,0.274,0.272,-1.273,0.775,-0.72,0.72,-0.898,-1.929,1,0
0.914,0.835,0.018,0.283,0.688,1.399,-0.855,1.371,0.516,-0.37,1,0
,-0.531,0.124,1.325,-0.341,0.539,-1.452,0.626,0.169,0.633,1,0
,-1.769,-0.401,-0.613,-1.242,1.126,-0.464,-0.406,1.019,0.69,1,0
,-1.654,-0.915,0.092,1.207,-0.042,1.553,-0.259,-1.193,-0.877,1,0
