usr_scor,sDnchar,sDUnqWords,sDCountWords,rank,isPDF,sCntQstr,sCntEngine,sRareSite,sRareQstr,sRareEngine,s.score,sRank,sRankMean,lp.score,sCntSubQstr,sStrongSubQstr,searchCount,sSearchBrevity,sRareSiteBySearch,sSimpleBySearch,sLinProBySearch,rankMin,sRareQstrMin,sRareEngineMin,sRankMin,searchCountMin,sSearchBrevityMin,sRareSiteBySearchMin,sSimpleBySearchMin,sLinProBySearchMin
8,13180,2,25,10,0,13,1,30,45,2722,13,0.0099009900990099,2.07692307692308,1,6,3,45,0.0175438596491228,37.9090909090909,10.1,1.10526315789474,1,7,2722,0.00909090909090909,7,0.0105263157894737,7,2.17777777777778,1
8,0,4,11,5,0,2,1,3,23,2722,2,0.00961538461538462,4.5,1,6,3,23,0.0138888888888889,11.7826086956522,5.04545454545455,1.09090909090909,4,22,2722,0.00952380952380952,22,0.0136986301369863,9.54545454545454,4.8695652173913,1.04347826086957
7,42564,6,21,66,0,4,1,14,88,2722,4,0.00952380952380952,20.75,2,6,3,79,0.0161290322580645,21.5789473684211,7.73684210526316,1.16666666666667,5,12,2722,0.00602409638554217,12,0.00775193798449612,8.92405063291139,1.64556962025316,1.09090909090909
7,19838,2,22,8,0,10,1,30,22,2722,10,0.0099009900990099,3.5,1,6,3,22,0.0175438596491228,37.9090909090909,10.1,1.10526315789474,1,7,2722,0.00925925925925926,7,0.0138888888888889,7,2.66666666666667,1
8,157499,4,4,13,0,2,1,6,23,2722,2,0.00900900900900901,12,1,6,3,23,0.0138888888888889,11.7826086956522,5.04545454545455,1.09090909090909,11,22,2722,0.00884955752212389,22,0.0136986301369863,9.54545454545454,4.8695652173913,1.04347826086957
8,97993,7,9,31,0,11,1,11,75,2722,11,0.00952380952380952,15.3636363636364,1,6,3,75,0.0175438596491228,41.1,7.9,1.2,5,7,2722,0.00763358778625954,7,0.008,7.06666666666667,1.88,1
8,0,0,0,67,1,34,1,34,88,2722,34,0.0099009900990099,9.17647058823529,2,6,3,79,0.0196078431372549,61.125,34,2,1,1,2722,0.00598802395209581,1,0.00775193798449612,7.64705882352941,1.64556962025316,1
8,90474,6,10,22,0,3,1,5,34,2722,3,0.0087719298245614,18.3333333333333,1,6,3,34,0.0138888888888889,11.7826086956522,5.04545454545455,1.09090909090909,14,22,2722,0.00819672131147541,22,0.0119047619047619,7.64705882352941,3.38235294117647,1.04347826086957
8,0,0,0,17,1,2,1,2,34,2722,2,0.00869565217391304,16,1,6,3,34,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909,15,22,2722,0.00854700854700855,22,0.0119047619047619,7.64705882352941,3.38235294117647,1.05882352941176
3,0,0,0,21,1,2,1,2,23,2722,2,0.00854700854700855,19,1,6,3,23,0.0138888888888889,11.7826086956522,5.04545454545455,1.09090909090909,17,22,2722,0.00826446280991736,22,0.0136986301369863,9.54545454545454,4.8695652173913,1.04347826086957
8,14395,0,0,30,0,4,1,4,34,2722,4,0.00847457627118644,22.5,1,6,3,34,0.0142857142857143,12.4,5.6,1.09090909090909,18,20,2722,0.00769230769230769,20,0.0119047619047619,7.64705882352941,3.38235294117647,1.04347826086957
3,149852,6,22,23,0,2,1,2,23,2722,2,0.00819672131147541,22.5,1,6,3,23,0.0138888888888889,11.7826086956522,5.04545454545455,1.09090909090909,22,22,2722,0.00813008130081301,22,0.0136986301369863,9.54545454545454,4.8695652173913,1.04347826086957
8,17889,1,15,5,0,2,1,30,20,2722,2,0.00980392156862745,3.5,1,6,3,20,0.0166666666666667,17.7,10.1,1.1,2,10,2722,0.00952380952380952,10,0.0142857142857143,12.4,5.6,1.05
2,15774,2,45,7,0,1,1,30,20,2722,1,0.00934579439252336,7,1,0,0,20,0.0142857142857143,12.4,5.6,1.05,7,20,2722,0.00934579439252336,20,0.0142857142857143,12.4,5.6,1.05
7,0,0,0,37,1,11,1,11,37,2722,11,0.00961538461538462,14,1,6,3,37,0.0185185185185185,22,12.75,1.16666666666667,4,4,2722,0.0072992700729927,4,0.0114942528735632,6.33333333333333,2.84615384615385,1
8,6546,5,5,5,0,3,1,3,37,2722,3,0.0099009900990099,2.33333333333333,1,6,4,37,0.0153846153846154,10.8108108108108,5.13333333333333,1,1,15,2722,0.00952380952380952,15,0.0114942528735632,7,2.66666666666667,1
8,21577,4,11,7,0,3,1,4,21,2722,3,0.00970873786407767,5.66666666666667,1,6,4,21,0.0166666666666667,17.7,5.71428571428571,1.07142857142857,3,10,2722,0.00934579439252336,10,0.0140845070422535,7,2.66666666666667,1
8,19759,4,26,47,0,3,1,3,141,2722,3,0.00884955752212389,31,1,6,4,141,0.0140845070422535,11.1279069767442,2.66666666666667,1,13,21,2722,0.00680272108843537,21,0.00523560209424084,6.90070921985816,1.31205673758865,1
8,169322,3,17,16,0,2,1,8,21,2722,2,0.00909090909090909,13,1,6,4,21,0.015625,14.8571428571429,5.71428571428571,1.07142857142857,10,14,2722,0.00862068965517241,14,0.0140845070422535,7,2.66666666666667,1
8,11798,7,16,10,0,6,1,82,45,2722,6,0.0099009900990099,4.5,1,6,3,45,0.0196078431372549,82,7.73684210526316,1.25,1,1,2722,0.00909090909090909,1,0.0105263157894737,7.06666666666667,2.17777777777778,1
2,3755,0,0,30,0,10,1,13,37,2722,10,0.00961538461538462,12.7,1,6,3,37,0.0178571428571429,40.9333333333333,11.8333333333333,1.16666666666667,4,6,2722,0.00769230769230769,6,0.0114942528735632,10.8108108108108,4.24324324324324,1
3,274058,10,13,31,0,10,1,10,37,2722,10,0.00952380952380952,14.9,1,6,3,37,0.0178571428571429,40.9333333333333,11.8333333333333,1.16666666666667,5,6,2722,0.00763358778625954,6,0.0114942528735632,10.8108108108108,4.24324324324324,1
3,0,0,0,33,0,9,1,9,37,2722,9,0.00952380952380952,15.4444444444444,1,6,3,37,0.0178571428571429,40.9333333333333,11.8333333333333,1.16666666666667,5,6,2722,0.0075187969924812,6,0.0114942528735632,10.8108108108108,4.24324324324324,1
7,414444,3,719,5,0,2,1,9,14,2722,2,0.0099009900990099,3,1,6,3,14,0.0172413793103448,21.5,5.75,1.07142857142857,1,8,2722,0.00952380952380952,8,0.015625,14.8571428571429,5.71428571428571,1
8,106237,3,6,12,0,2,1,2,45,2722,2,0.00961538461538462,8,1,6,3,45,0.015625,14.8571428571429,5.71428571428571,1.07142857142857,4,14,2722,0.00892857142857143,14,0.0105263157894737,7.06666666666667,2.17777777777778,1
7,0,0,0,6,1,1,1,2,45,2722,1,0.00943396226415094,6,1,0,0,45,0.0105263157894737,7.06666666666667,2.17777777777778,1,6,45,2722,0.00943396226415094,45,0.0105263157894737,7.06666666666667,2.17777777777778,1
3,0,0,0,16,1,7,1,7,37,2722,7,0.0099009900990099,6.71428571428571,1,6,4,37,0.0166666666666667,40.9333333333333,8.26666666666667,1.1,1,10,2722,0.00862068965517241,10,0.0114942528735632,7.73333333333333,4.24324324324324,1
7,0,0,0,10,1,2,1,2,15,2722,2,0.00925925925925926,9,1,6,4,15,0.0153846153846154,40.9333333333333,8.26666666666667,1.06666666666667,8,15,2722,0.00909090909090909,15,0.0153846153846154,25.5333333333333,6.2,1.03333333333333
7,0,0,0,9,1,3,1,5,15,2722,3,0.00980392156862745,6.66666666666667,1,6,4,15,0.0166666666666667,40.9333333333333,8.26666666666667,1.06666666666667,2,10,2722,0.00917431192660551,10,0.0153846153846154,25.5333333333333,6.1,1.03333333333333
3,85655,5,5,6,0,2,1,16,15,2722,2,0.00970873786407767,4.5,0.5,8,6,15,0.0166666666666667,40.9333333333333,6.2,1.05,3,10,2722,0.00943396226415094,10,0.0153846153846154,31.6,6.1,1.03333333333333
7,65081,5,102,5,0,2,1,14,37,2722,2,0.00961538461538462,4.5,1,6,4,37,0.0125,15.6666666666667,5.63333333333333,1.06666666666667,4,30,2722,0.00952380952380952,30,0.0114942528735632,10.8108108108108,4.24324324324324,1
8,34254,5,45,6,0,2,1,14,37,2722,2,0.00952380952380952,5.5,1,6,4,37,0.0125,15.6666666666667,5.63333333333333,1.06666666666667,5,30,2722,0.00943396226415094,30,0.0114942528735632,10.8108108108108,4.24324324324324,1
7,79124,6,32,9,0,3,1,3,37,2722,3,0.00952380952380952,7,1,6,4,37,0.0153846153846154,15.6666666666667,5.63333333333333,1.06666666666667,5,15,2722,0.00917431192660551,15,0.0114942528735632,7.73333333333333,4.24324324324324,1
7,12375,4,24,8,0,9,1,65,118,2722,9,0.00970873786407767,6.55555555555556,2,6,4,118,0.0172413793103448,61.125,9.125,1.25,3,8,2722,0.00925925925925926,8,0.00595238095238095,10.9067796610169,1.47457627118644,1.00847457627119
7,21327,4,61,10,0,5,1,65,37,2722,5,0.0099009900990099,5.4,1,8,6,37,0.0169491525423729,49.4444444444444,8.22222222222222,1.22222222222222,1,9,2722,0.00909090909090909,9,0.0114942528735632,10.8108108108108,3.4,1
2,89771,5,8,14,0,2,1,16,37,2722,2,0.00909090909090909,12,0.5,8,6,37,0.0153846153846154,10.8108108108108,5.13333333333333,1,10,15,2722,0.0087719298245614,15,0.0114942528735632,7.73333333333333,4.24324324324324,1
7,25931,1,3,21,0,2,1,8,37,2722,2,0.00925925925925926,14.5,0.5,8,6,37,0.0153846153846154,10.8108108108108,5.13333333333333,1,8,15,2722,0.00826446280991736,15,0.0114942528735632,7.73333333333333,4.24324324324324,1
3,15557,1,19,3,0,2,1,30,10,2722,2,0.00980392156862745,2.5,1,6,3,10,0.0172413793103448,25.6,5.75,1,2,8,2722,0.00970873786407767,8,0.0166666666666667,21.5,5.1,1
3,13858,1,24,7,0,1,1,30,8,2722,1,0.00934579439252336,7,1,0,0,8,0.0172413793103448,21.5,5.75,1,7,8,2722,0.00934579439252336,8,0.0172413793103448,21.5,5.75,1
7,37972,4,62,5,0,1,1,30,7,2722,1,0.00952380952380952,5,1,0,0,7,0.0175438596491228,19.2857142857143,6.28571428571429,1,5,7,2722,0.00952380952380952,7,0.0175438596491228,19.2857142857143,6.28571428571429,1
3,19777,2,8,3,0,7,1,16,18,2722,7,0.0099009900990099,1.57142857142857,1,6,3,18,0.0175438596491228,26.7142857142857,8.75,1.16666666666667,1,7,2722,0.00970873786407767,7,0.0147058823529412,11.4285714285714,3.18181818181818,1
7,22300,2,11,9,0,7,1,16,18,2722,7,0.00980392156862745,4.28571428571429,1,6,3,18,0.0175438596491228,26.7142857142857,8.75,1.16666666666667,2,7,2722,0.00917431192660551,7,0.0147058823529412,11.4285714285714,3.18181818181818,1
3,7289,1,4,3,0,1,1,82,7,2722,1,0.00970873786407767,3,1,0,0,7,0.0175438596491228,33.1428571428571,2.57142857142857,1,3,7,2722,0.00970873786407767,7,0.0175438596491228,33.1428571428571,2.57142857142857,1
3,117255,2,35,12,0,3,1,21,15,2722,3,0.00943396226415094,8.66666666666667,1,6,3,15,0.0166666666666667,27.9,3.4,1.06666666666667,6,10,2722,0.00892857142857143,10,0.0153846153846154,17.5,2.33333333333333,1
8,476087,2,7,7,0,1,1,13,12,2722,1,0.00934579439252336,7,1,0,0,12,0.0161290322580645,17.5,2.33333333333333,1,7,12,2722,0.00934579439252336,12,0.0161290322580645,17.5,2.33333333333333,1
3,51417,1,29,11,0,4,1,6,23,2722,4,0.0099009900990099,3.75,1,6,4,23,0.0172413793103448,46.7,7.375,1.25,1,8,2722,0.00900900900900901,8,0.0136986301369863,11.7826086956522,1.63636363636364,1
7,14176,1,3,9,0,4,1,82,10,2722,4,0.00980392156862745,5.5,1,6,4,10,0.0178571428571429,48.5,5.16666666666667,1,2,6,2722,0.00917431192660551,6,0.0166666666666667,28,3.1,1
