,-1.217,-1.327,0.039,-0.487,-0.768,1.166,-0.731,-0.875,-0.993,1,0
,-0.253,-0.915,0.235,0.081,-0.921,0.653,0.871,-0.703,-0.892,1,0
,1.95,-1.143,2.136,0.622,1.167,0.064,-0.368,-0.037,0.338,1,0
,-0.717,-1.885,2.025,-0.837,-1.516,-0.422,0.313,-0.596,0.775,1,0
0.846,-1.231,1.146,0.141,-0.202,1.18,-0.544,-0.924,1.524,-0.661,1,0
,-0.649,-1.104,0.423,1.27,-0.579,-0.162,1.835,-0.213,0.148,1,0
,-0.327,-0.868,-0.282,-0.726,-0.634,2.489,1.059,-1.223,-0.268,1,0
2.11,-1.009,0.477,-1.477,0.276,-0.594,-0.771,0.978,-0.11,0.032,1,0
0.982,-0.04,1.597,0.086,-0.257,0.723,-1.088,0.41,-0.998,1.299,1,0
,1.301,-1.811,-0.968,1.827,-0.295,-0.801,0.13,1.428,0.885,1,0
,0.745,-0.756,-0.589,-0.04,-0.093,0.61,-0.702,2.329,-1.377,1,0
,-0.443,-1.203,-0.525,-0.201,1.654,-1.625,0.286,-1.642,0.6,1,0
2.303,-1.275,0.52,0.945,0.097,-2.7,-0.626,-1.678,1.195,-1.85,1,0
,0.284,-0.545,-1.981,0.624,-1.917,-0.111,-0.574,1.694,1.76,1,0
,-1.003,-0.843,2.193,0.551,0.771,-0.075,0.086,-0.812,-1.99,1,0
,1.052,-0.643,0.668,-1.958,-0.638,0.717,0.756,1.372,-1.315,1,0
1.037,-0.776,0.954,-2.26,1.397,-1.048,1.639,1.751,0.379,-0.128,1,0
1.009,0.023,1.441,-1.762,1.347,-1.158,1.419,0.005,2.235,-0.739,1,0
0.891,-0.139,2.291,-0.003,-0.089,-0.944,0.58,-1.271,-0.048,-0.472,1,0
12.769,-1.116,0.102,-0.6,-1.283,0.572,0.269,0.329,0.445,0.888,1,0
,0.786,-0.484,0.06,0.919,0.42,0.313,0.249,0.879,0.579,1,0
1.177,0.302,1.713,0.094,-0.374,-0.347,1.077,-0.539,1.227,1.335,1,0
,0.389,-1.164,-0.389,0.383,0.499,0.141,0.301,-1.642,-0.458,1,0
,-1.418,-0.556,1.499,-0.485,-0.722,0.782,-1.345,-1.594,-0.758,1,0
,0.046,-1.147,0.575,0.167,-0.035,-0.848,-1.771,1.054,1.576,1,0
0.659,-0.559,2.11,0.306,0.215,0.206,0.026,0.149,0.636,-1.541,1,0
,-0.753,-0.037,-1.428,-0.285,0.617,-0.474,-0.854,0.945,-0.116,1,0
,0.677,-1.715,0.268,-0.914,0.948,1.169,-0.858,0.486,-1.021,1,0
,0.062,-0.028,0.9,-0.452,-0.699,-0.943,-1.708,2.088,-0.469,1,0
,0.298,-0.291,-0.876,1.258,0.637,1.115,-0.709,-1.284,-2.762,1,0
,-0.289,-2.02,0.05,2.849,-0.939,-1.239,-1.632,1.091,1.065,1,0
,-0.262,-1.548,-0.453,0.33,-0.554,0.398,-0.015,-0.194,0.133,1,0
,2.201,-0.531,-0.829,1.53,0.295,0.601,0.739,0.586,1.121,1,0
0.946,0.132,0.66,2.157,0.543,0.045,-0.101,1.085,-0.066,-1.567,1,0
,-0.325,-0.117,1.811,1.346,0.558,1.378,0.124,-0.37,0.493,1,0
,-2.022,-0.766,-0.662,-0.841,-0.041,-0.876,-0.053,-0.187,-0.389,1,0
0.973,0.094,0.751,-0.565,-1.852,0.315,1.031,0.156,3.265,0.646,1,0
,-0.1,-0.291,-0.114,0.316,-0.396,-0.365,-0.995,-0.398,0.835,1,0
,0.919,-0.409,-1.032,-1.253,-0.529,1.722,-0.912,1.821,-0.472,1,0
1.046,-0.105,0.651,1.197,-0.483,1.194,-0.06,-0.155,-0.842,-0.448,1,0
0.602,-1.557,1.386,1.168,-0.047,-0.512,-0.414,1.52,-0.806,-1.221,1,0
,0.56,-0.339,0.229,0.361,-1.157,-1.085,-1.516,-0.47,0.315,1,0
1.262,-0.27,0.423,-1.441,-0.355,1.394,1.573,-1.886,2.345,0.775,1,0
,-0.642,-1.625,1.813,-0.962,0.43,1.404,0.252,0.157,-2.652,1,0
,1.352,-0.751,0.458,-0.702,1.107,-0.461,1.57,-0.29,0.311,1,0
1.358,-0.866,0.702,0.362,-0.896,0.036,-0.913,1.051,1.026,-0.383,1,0
