,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caret,avNNet,Wed Aug 15 12:56:31 2018,0.062,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,196,222,,V2,100,V3,9.25,V4,12.5,V5,6.06,V6,0.143,V7,0.617,V8,16.4,V9,5.36,V10,12.9,ICA1,3.76,ICA2,6.67,ICA3,0.438,ICA4,40.3,ICA5,3.26,ICA6,1.97,ICA7,17.7,ICA8,9.97,ICA9,43,PC1,39.8,PC2,0.362,PC3,28.8,PC4,20,PC5,12.5,PC6,6.12,PC7,10.6,PC8,18.1,PC9,7.21,V2.1,100,V3.1,9.25,V4.1,12.5,V5.1,6.06,V6.1,0.143,V7.1,0.617,V8.1,16.4,V9.1,5.36,V10.1,12.9,V2.2,100,V3.2,9.2,V4.2,12.7,V5.2,6.03,V6.2,0,V7.2,0.622,V8.2,16.3,V9.2,5.31,V10.2,13,V2.3,100,V3.3,9.23,V4.3,12.3,V5.3,5.97,V6.3,0.131,V7.3,0.661,V8.3,16.2,V9.3,5.35,V10.3,12.9,V2.4,100,V3.4,9.26,V4.4,12.5,V5.4,5.95,V6.4,0.119,V7.4,0.627,V8.4,16.2,V9.4,5.39,V10.4,12.9
caret_hold_permute,avNNet,Wed Aug 15 12:56:47 2018,0.062,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,13,PC5,0.9926,ICA2,0.9961,ICA3,0.9964,PC8,0.9969,V3.3,0.9984,ICA8,0.9984,V7.2,0.9985,PC7,0.9987,V10.3,0.9987,V4.4,0.9987,PC2,0.9988,V7.3,0.9989,V4.1,0.9994,V4,0.9994,V3.4,0.9995,V9.4,0.9996,V7.1,0.9996,V5.1,0.9996,V7,0.9997,ICA6,0.9997,V9.2,0.9998,V5.2,0.9998,V9,0.9998,PC6,0.9998,V2.3,0.9998,V5.3,0.9998,V5,0.9999,V9.1,0.9999,V10.2,1,PC9,1,V6.4,1,V5.4,1,V8,1,V8.4,1,V8.1,1,ICA7,1,V9.3,1,V10,1,V10.1,1,V8.2,1,V8.3,1,V3,1.001,V3.1,1.001,V3.2,1.001,V4.3,1.001,V6.2,1.001,V6.3,1.001,V7.4,1.002,ICA1,1.002,V4.2,1.002,V6.1,1.003,V10.4,1.003,V6,1.003,PC4,1.005,ICA9,1.005,ICA5,1.006,PC3,1.012,V2.2,1.014,V2.1,1.015,V2,1.02,V2.4,1.021,ICA4,1.023,PC1,1.029
caret_train_permute,avNNet,Wed Aug 15 12:56:48 2018,0.062,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,1,V3.3,0.9999,PC7,1,ICA8,1,V6.1,1,V4.4,1,V3.4,1,V7.4,1,V2.3,1,V6.3,1,V6,1,PC9,1,V4.1,1,V4,1,V10.1,1,V8,1,V5.4,1,V10.2,1,V10,1,V9,1,ICA6,1,V8.1,1,V7,1,V9.2,1,V10.3,1,V7.1,1,V10.4,1,V9.1,1,V8.4,1,V6.4,1,V6.2,1,V9.4,1,V9.3,1,V4.3,1,V7.3,1,PC6,1,V5.3,1,V5.2,1,ICA5,1,V7.2,1,V4.2,1,V5.1,1,V5,1,V8.3,1,V8.2,1,V3,1,V3.2,1,V3.1,1,PC2,1,ICA2,1,ICA1,1,PC4,1,ICA7,1,PC5,1,PC8,1.001,ICA3,1.001,PC3,1.001,V2,1.001,ICA9,1.001,ICA4,1.001,V2.2,1.001,PC1,1.001,V2.4,1.001,V2.1,1.002
caret,bagEarth,Wed Aug 15 13:01:30 2018,0.98,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,528,222,,V2.4,100,V2,13.3,V3,0,V4,0,V5,0,V6,0,V7,0,V8,0,V9,0,V10,0,ICA1,0,ICA2,0,ICA3,0,ICA4,0,ICA5,0,ICA6,0,ICA7,0,ICA8,0,ICA9,0,PC1,0,PC2,0,PC3,0,PC4,0,PC5,0,PC6,0,PC7,0,PC8,0,PC9,0,V2.1,0,V3.1,0,V4.1,0,V5.1,0,V6.1,0,V7.1,0,V8.1,0,V9.1,0,V10.1,0,V2.2,0,V3.2,0,V4.2,0,V5.2,0,V6.2,0,V7.2,0,V8.2,0,V9.2,0,V10.2,0,V2.3,0,V3.3,0,V4.3,0,V5.3,0,V6.3,0,V7.3,0,V8.3,0,V9.3,0,V10.3,0,V3.4,0,V4.4,0,V5.4,0,V6.4,0,V7.4,0,V8.4,0,V9.4,0,V10.4,0
caret_hold_permute,bagEarth,Wed Aug 15 13:01:57 2018,0.98,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,26,V3,1,V4,1,V5,1,V6,1,V7,1,V8,1,V9,1,V10,1,ICA1,1,ICA2,1,ICA3,1,ICA4,1,ICA5,1,ICA6,1,ICA7,1,ICA8,1,ICA9,1,PC1,1,PC2,1,PC3,1,PC4,1,PC5,1,PC6,1,PC7,1,PC8,1,PC9,1,V2.1,1,V3.1,1,V4.1,1,V5.1,1,V6.1,1,V7.1,1,V8.1,1,V9.1,1,V10.1,1,V3.2,1,V4.2,1,V5.2,1,V6.2,1,V7.2,1,V8.2,1,V9.2,1,V10.2,1,V3.3,1,V4.3,1,V5.3,1,V6.3,1,V7.3,1,V8.3,1,V9.3,1,V10.3,1,V3.4,1,V4.4,1,V5.4,1,V6.4,1,V7.4,1,V8.4,1,V9.4,1,V10.4,1,V2.2,1.013,V2,2.115,V2.3,26.34,V2.4,39.27
caret_train_permute,bagEarth,Wed Aug 15 13:02:24 2018,0.98,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,27,V3,1,V4,1,V5,1,V6,1,V7,1,V8,1,V9,1,V10,1,ICA1,1,ICA2,1,ICA3,1,ICA4,1,ICA5,1,ICA6,1,ICA7,1,ICA8,1,ICA9,1,PC1,1,PC2,1,PC3,1,PC4,1,PC5,1,PC6,1,PC7,1,PC8,1,PC9,1,V2.1,1,V3.1,1,V4.1,1,V5.1,1,V6.1,1,V7.1,1,V8.1,1,V9.1,1,V10.1,1,V3.2,1,V4.2,1,V5.2,1,V6.2,1,V7.2,1,V8.2,1,V9.2,1,V10.2,1,V3.3,1,V4.3,1,V5.3,1,V6.3,1,V7.3,1,V8.3,1,V9.3,1,V10.3,1,V3.4,1,V4.4,1,V5.4,1,V6.4,1,V7.4,1,V8.4,1,V9.4,1,V10.4,1,V2.2,1.348,V2,26.68,V2.3,63.32,V2.4,88.59
caret,bagEarthGCV,Wed Aug 15 13:03:15 2018,0.949,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,528,222,,V2.3,100,V2,2.92,V3,0.637,V4,0.241,V5,0.157,V6,0,V7,0,V8,0,V9,0,V10,0,ICA1,0,ICA2,0,ICA3,0,ICA4,0,ICA5,0,ICA6,0,ICA7,0,ICA8,0,ICA9,0,PC1,0,PC2,0,PC3,0,PC4,0,PC5,0,PC6,0,PC7,0,PC8,0,PC9,0,V2.1,0,V3.1,0,V4.1,0,V5.1,0,V6.1,0,V7.1,0,V8.1,0,V9.1,0,V10.1,0,V2.2,0,V3.2,0,V4.2,0,V5.2,0,V6.2,0,V7.2,0,V8.2,0,V9.2,0,V10.2,0,V3.3,0,V4.3,0,V5.3,0,V6.3,0,V7.3,0,V8.3,0,V9.3,0,V10.3,0,V2.4,0,V3.4,0,V4.4,0,V5.4,0,V6.4,0,V7.4,0,V8.4,0,V9.4,0,V10.4,0
caret_hold_permute,bagEarthGCV,Wed Aug 15 13:03:46 2018,0.949,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,31,ICA3,0.9355,V7,0.9546,V7.3,0.9693,PC4,0.9933,PC1,0.9946,ICA1,0.9998,V3,1,V4,1,V5,1,V8,1,V9,1,V10,1,ICA2,1,ICA4,1,ICA6,1,ICA8,1,PC2,1,PC3,1,PC5,1,PC6,1,PC7,1,PC9,1,V2.1,1,V3.1,1,V4.1,1,V5.1,1,V6.1,1,V7.1,1,V8.1,1,V9.1,1,V10.1,1,V3.2,1,V4.2,1,V5.2,1,V7.2,1,V8.2,1,V9.2,1,V10.2,1,V4.3,1,V5.3,1,V6.3,1,V8.3,1,V9.3,1,V10.3,1,V3.4,1,V4.4,1,V5.4,1,V6.4,1,V7.4,1,V8.4,1,V9.4,1,V10.4,1,ICA9,1.001,V6,1.009,V6.2,1.011,ICA7,1.011,V3.3,1.026,PC8,1.035,ICA5,1.132,V2,2.958,V2.2,3.728,V2.3,12.14,V2.4,17.02
caret_train_permute,bagEarthGCV,Wed Aug 15 13:04:15 2018,0.949,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,29,V6,0.9994,V3,1,V4,1,V5,1,V8,1,V9,1,V10,1,ICA2,1,ICA4,1,ICA6,1,ICA8,1,PC2,1,PC3,1,PC5,1,PC7,1,PC9,1,V2.1,1,V3.1,1,V4.1,1,V5.1,1,V6.1,1,V7.1,1,V8.1,1,V9.1,1,V10.1,1,V3.2,1,V4.2,1,V5.2,1,V7.2,1,V8.2,1,V9.2,1,V10.2,1,V4.3,1,V5.3,1,V6.3,1,V8.3,1,V9.3,1,V10.3,1,V3.4,1,V4.4,1,V5.4,1,V6.4,1,V7.4,1,V8.4,1,V9.4,1,V10.4,1,PC8,1,ICA7,1.001,V6.2,1.002,ICA9,1.003,PC6,1.004,V7.3,1.004,V3.3,1.004,PC1,1.005,V7,1.005,PC4,1.006,ICA1,1.012,ICA5,1.014,ICA3,1.032,V2,2.15,V2.2,3.102,V2.3,11.88,V2.4,15.38
caret,bayesglm,Wed Aug 15 13:05:37 2018,0.84,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,,V2,100,V3,9.25,V4,12.5,V5,6.06,V6,0.143,V7,0.617,V8,16.4,V9,5.36,V10,12.9,ICA1,3.76,ICA2,6.67,ICA3,0.438,ICA4,40.3,ICA5,3.26,ICA6,1.97,ICA7,17.7,ICA8,9.97,ICA9,43,PC1,39.8,PC2,0.362,PC3,28.8,PC4,20,PC5,12.5,PC6,6.12,PC7,10.6,PC8,18.1,PC9,7.21,V2.1,100,V3.1,9.25,V4.1,12.5,V5.1,6.06,V6.1,0.143,V7.1,0.617,V8.1,16.4,V9.1,5.36,V10.1,12.9,V2.2,100,V3.2,9.2,V4.2,12.7,V5.2,6.03,V6.2,0,V7.2,0.622,V8.2,16.3,V9.2,5.31,V10.2,13,V2.3,100,V3.3,9.23,V4.3,12.3,V5.3,5.97,V6.3,0.131,V7.3,0.661,V8.3,16.2,V9.3,5.35,V10.3,12.9,V2.4,100,V3.4,9.26,V4.4,12.5,V5.4,5.95,V6.4,0.119,V7.4,0.627,V8.4,16.2,V9.4,5.39,V10.4,12.9
