name,mean,min,median,max,count,70%,80%,90%
SL.glm.interaction,0.079,0.01,0.05,0.54,684,0.08,0.09,0.16
SL.mean,0.057,0.01,0.05,0.11,1149,0.08,0.09,0.11
SL.rpartPrune,0.176,0.01,0.12,0.66,1261,0.15,0.3,0.5
SL.nnet,0.198,0.01,0.12,0.74,1263,0.26,0.38,0.49
SL.loess,0.239,0.01,0.26,0.62,1251,0.34,0.41,0.46
SL.rpart,0.345,0.01,0.4,0.71,1261,0.47,0.51,0.57
SL.earth,0.37,0.01,0.4,0.8,1252,0.57,0.598,0.65
SL.kernelKnn,0.434,0.12,0.44,0.78,1268,0.53,0.57,0.62
SL.glm,0.45,0.01,0.48,0.75,1237,0.56,0.61,0.65
SL.lm,0.45,0.01,0.48,0.75,1234,0.56,0.61,0.65
SL.gbm,0.49,0.44,0.49,0.54,2,0.51,0.52,0.53
SL.speedglm,0.478,0.07,0.49,0.7,805,0.578,0.614,0.65
SL.speedlm,0.478,0.07,0.49,0.7,805,0.578,0.614,0.65
SL.bayesglm,0.474,0.03,0.49,0.72,1229,0.57,0.63,0.65
SL.gam,0.457,0.01,0.5,0.75,1208,0.56,0.57,0.65
SL.ridge,0.505,0.07,0.52,0.74,1221,0.6,0.63,0.66
SL.polymars,0.489,0.01,0.52,0.75,1249,0.6,0.65,0.7
SL.step.forward,0.498,0.03,0.53,0.77,1244,0.61,0.64,0.69
SL.nnls,0.524,0.05,0.54,0.72,1265,0.6,0.65,0.67
SL.stepAIC,0.544,0.04,0.54,0.8,1260,0.59,0.65,0.71
SL.glmnet,0.55,0.21,0.54,0.74,1272,0.62,0.66,0.69
SL.ksvm,0.54,0.11,0.55,0.73,1268,0.64,0.66,0.68
SL.cforest,0.565,0.49,0.565,0.64,2,0.595,0.61,0.625
SL.svm,0.541,0.05,0.57,0.77,1260,0.63,0.67,0.73
SL.bartMachine,0.59,0.46,0.59,0.74,579,0.62,0.63,0.67
SL.ipredbagg,0.599,0.39,0.61,0.75,1270,0.66,0.68,0.7
SL.extraTrees,0.597,0.31,0.63,0.77,1276,0.67,0.7,0.74
SL.randomForest,0.633,0.35,0.64,0.8,1264,0.68,0.7,0.77
SL.ranger,0.639,0.39,0.64,0.79,1224,0.69,0.71,0.75
