basic latent features,47,-0.027,0,0,0.008,0.123,0.007,-0.014,0,0,0.004,0.062,0.003
polynomial C1 t C2 t U3,46,-0.004,0,0,0.021,0.028,0.007,-0.002,0,0,0.01,0.014,0.004
polynomial C1 t C2 t U3^1d3,46,-0.109,-0.027,0,0,0.078,-0.013,-0.054,-0.014,0,0,0.039,-0.007
just random,45,0,0,0,0,0.019,0.001,0,0,0,0,0.01,0.001
smoothed switches between -C2-U3 & C2+U3 based on C1,45,-0.099,-0.017,0,0,0.011,-0.014,-0.05,-0.008,0,0,0.006,-0.007
polynomial C1 t C2,46,-0.044,0,0.006,0.037,0.207,0.03,-0.022,0,0.003,0.019,0.104,0.015
mean subtraction in each row,46,-0.014,0,0.014,0.022,0.026,0.011,-0.007,0,0.007,0.011,0.013,0.005
switches between -C2-U3 & C2+U3 based on C1,45,-0.038,0,0.018,0.055,0.066,0.024,-0.019,0,0.009,0.028,0.033,0.012
median subtraction in each row,33,0,0.007,0.02,0.023,0.036,0.016,0,0.003,0.01,0.012,0.018,0.008
polynomial C1 ^ .5,47,-0.028,0.016,0.031,0.034,0.066,0.027,-0.014,0.008,0.015,0.017,0.033,0.013
polynomial C1 ^ 2,46,-0.018,0,0.04,0.106,0.163,0.055,-0.009,0,0.02,0.053,0.082,0.028
switches between C2+U3 & C4+C5 based on C1,46,0,0.031,0.04,0.072,0.17,0.054,0,0.015,0.02,0.036,0.085,0.027
switches between C2 & -C2 based on C1,46,0,0.059,0.074,0.151,0.302,0.105,0,0.03,0.037,0.075,0.151,0.052
randomly switches between C1 & C2,45,0,0.075,0.08,0.088,0.131,0.078,0,0.038,0.04,0.044,0.066,0.039
polynomial C1 ^ -2,46,-0.062,0.173,0.224,0.279,0.463,0.228,-0.031,0.086,0.112,0.14,0.232,0.114
polynomial C1 ^ C2,45,0.463,0.481,0.482,0.483,0.484,0.481,0.232,0.24,0.241,0.242,0.242,0.241
