,-0.448,-0.152,-1.228,0.681,-0.549,-2.528,-0.723,-0.57,1.488,1,0
,-0.762,-0.97,0.446,0.573,2.367,-1.597,0,1.448,0.582,1,0
,-0.452,0.524,0.055,-0.833,-1.044,-0.174,0.808,0.87,-0.243,1,0
-1.141,0.32,-0.146,0.572,-0.899,0.671,-0.688,0.944,0.115,1.617,1,0
-0.968,0.38,0.448,-0.405,0.518,0.195,-0.35,-2.391,0.465,-1.19,1,0
0.048,1.049,-0.926,-1.055,-1.483,-1.465,-0.396,-0.801,0.84,-1.451,1,0
-0.301,0.74,1.118,-0.551,0.488,-0.911,0.099,-1.27,1.046,0.292,1,0
-1.153,0.316,-0.179,-0.861,-1.231,-1.894,0.179,-0.909,-0.969,-1.255,1,0
,-0.966,-0.416,0.609,-0.114,-0.176,1.414,-0.279,-0.191,2.449,1,0
-1.359,0.257,-2.163,0.274,-1.863,-0.273,1.29,0.051,0.665,0.77,1,0
,-0.6,1.729,-0.771,-0.246,0.604,0.574,-0.016,-0.409,-0.338,1,0
0.859,2.36,-0.322,-0.054,0.846,-0.805,0.077,0.916,-0.084,1.755,1,0
,-0.451,-0.278,0.122,-1.376,0.211,1.287,0.208,0.256,-0.43,1,0
-3.136,0.043,0.496,-0.316,-0.059,0.57,-0.376,1.412,-1.255,-0.134,1,0
-0.185,0.831,-0.355,-0.644,-0.909,0.885,0.155,1.809,0.129,-0.232,1,0
0.494,1.638,-0.643,-0.65,0.045,0.534,-0.634,-0.725,0.263,-0.633,1,0
,-0.523,0.572,-0.387,-0.692,-1.004,-0.479,0.474,-0.05,0.535,1,0
,-1.121,-0.668,0.823,0.294,0.466,-0.234,-0.318,1.073,-0.01,1,0
0.764,2.148,-1.739,1.279,1.579,-0.534,1.043,-1.273,-0.535,-1.893,1,0
,-1.657,-0.649,1.759,0.321,-0.825,0.585,0.254,0.813,2.02,1,0
0.157,1.17,-3.116,1.264,-0.387,0.029,0.446,0.176,0.181,0.893,1,0
,-0.476,0.55,-0.878,0.086,0.533,-0.251,-0.493,-1.101,0.902,1,0
,-0.212,0.391,1.622,-0.017,-1.537,1.727,-0.447,-0.096,0.314,1,0
-0.5,0.607,-0.77,-0.427,0.786,0.36,-0.647,-0.173,-1.122,1.248,1,0
,-0.252,-0.012,-0.004,2.086,0.582,0.248,0.581,-0.826,0.172,1,0
,-0.198,0.569,0.866,-0.958,-1.127,0.699,0.95,2.293,-0.634,1,0
-2.803,0.061,-0.509,-0.032,0.62,0.979,0.24,0.614,-0.861,0.528,1,0
,-1.138,1.005,-0.904,-0.468,-1.607,0.89,-0.384,-2.391,0.746,1,0
,-0.988,-0.967,0.345,0.515,0.481,1.171,-1.162,-1.283,-0.617,1,0
,-0.727,-1.025,0.928,-1.303,0.765,0.074,-0.418,0.193,-0.271,1,0
,-0.195,-0.124,-0.683,0.63,-0.006,2.062,0.169,-0.753,0.106,1,0
-0.001,0.999,0.618,0.481,0.976,0.417,-2.45,-0.872,-0.445,-0.826,1,0
0.055,1.057,-1.195,1.3,-0.507,0.882,0.098,1.077,0.161,-1.001,1,0
,-0.055,-0.865,1.909,-0.818,-1.35,-0.479,-1.825,0.012,-0.159,1,0
,-1.544,0.011,-0.825,-0.097,0.912,-0.92,0.053,-0.652,0.02,1,0
-1.523,0.218,0.618,-0.446,0.601,0.624,0.553,0.726,-0.245,-0.716,1,0
0.837,2.309,-0.351,-0.101,-1.443,0.84,0.261,-0.358,2.942,-1.476,1,0
-0.184,0.832,0.107,0.641,0.106,0.211,-0.726,-0.576,-1.674,1.167,1,0
,-1.44,-0.604,0.15,-0.477,-0.876,0.089,1.247,0.1,-1.388,1,0
,-2.069,-0.278,-0.265,0.979,0.025,0.26,-0.198,1.067,0.637,1,0
,-0.366,-0.315,0.471,1.499,-0.605,-0.289,1.574,-1.118,1.509,1,0
-2.539,0.079,0.446,0.069,1.074,-0.02,1.196,0.183,0.849,-1.663,1,0
,-1.085,-0.285,0.658,-0.119,0.359,0.318,0.177,-0.036,0.277,1,0
-0.914,0.401,0.135,-0.169,1.686,-0.707,-0.658,-1.703,-1.51,-0.384,1,0
-0.41,0.663,1.01,0.356,-0.474,1.943,0.179,0.114,0.083,-0.037,1,0
-0.446,0.64,-0.344,1.458,0.316,0.001,-0.987,0.287,-0.148,-1.585,1,0
0.977,2.656,-1.657,-0.23,0.52,0.194,-1.238,-0.13,-0.279,-0.92,1,0
,-0.085,0.339,1.295,-0.386,-0.239,0.347,-0.852,-0.122,-0.711,1,0
,-0.4,-0.239,1.376,-1.143,-2.249,1.367,1.634,0.711,-0.465,1,0
0.219,1.245,0.167,-1.42,0.803,1.215,0.127,-1.442,0.071,0.308,1,0
0.826,2.283,1.254,-1.751,2.02,1.996,-0.008,2.29,-1.581,0.017,1,0
-1.163,0.313,0.342,0.15,-1.927,0.595,-1.119,-1.035,3.413,0.246,1,0
,-0.649,0.33,0.077,-0.159,-0.81,0.452,0.504,-1.13,0.896,1,0
-0.42,0.657,-0.191,0.596,0.392,-1.076,-0.252,0.81,-0.345,0.08,1,0
-0.927,0.396,-1.066,-2.41,-0.662,-1.409,0.509,0.004,-0.413,-0.248,1,0
-0.177,0.837,0.001,0.374,-0.235,0.109,1.428,2.949,-1.259,-0.083,1,0
0.283,1.327,0.913,-0.45,0.66,-0.633,-0.466,0.702,-0.555,-0.775,1,0
,-2.087,-1.466,-0.666,-0.866,0.299,0.654,-0.467,0.38,2.264,1,0
,-0.257,-0.993,0.298,-1.38,0.052,0.446,0.128,1.083,-0.936,1,0
-0.447,0.639,0.158,-1.065,-1.077,-0.596,-0.358,-0.658,-0.087,0.128,1,0
-1.015,0.363,-0.153,0.56,-0.317,-0.1,-0.041,-0.754,0.573,-1.069,1,0
-0.176,0.838,-1.469,1.132,-0.199,0.092,0.026,1.396,-0.872,-1.057,1,0
-1.185,0.306,0.021,2.438,-0.617,1.328,0.492,-0.459,-1.894,-1.965,1,0
0.06,1.062,0.511,-1.759,0.329,-0.444,-1.245,-1.873,-1.395,0.081,1,0
-1.135,0.321,0.186,-0.097,-0.347,-0.759,-0.911,-0.734,0.131,0.619,1,0
,-0.994,-1.001,0.803,0.01,-0.478,2.411,-0.674,-1.063,-0.462,1,0
,-0.987,0.398,-1.602,0.787,-0.467,-0.621,-1.107,-0.211,0.881,1,0
0.032,1.033,0.408,-1.119,1.231,-1.77,-0.139,-1.518,-0.524,0.604,1,0
-0.803,0.448,0.519,0.028,0.158,1.877,-0.387,-0.985,-2.034,-0.481,1,0
,-0.414,-0.294,-0.017,0.268,1.212,-0.075,-0.439,0.736,-0.676,1,0
0.051,1.053,-0.632,-1.217,0.151,-2.396,0.79,1.799,-0.924,1.052,1,0
-0.064,0.938,-0.822,0.651,-0.548,-0.33,0.601,0.206,-0.707,1.392,1,0
,-1.311,-0.482,-1.627,-1.095,0.246,0.385,-0.432,0.048,1.021,1,0
-0.66,0.517,-0.726,0.135,1.891,1.307,-1.1,-0.914,1.927,1.199,1,0
0.543,1.721,0.859,0.955,-0.264,0.186,-1.415,-1.916,0.71,-0.221,1,0
-1.604,0.201,0.825,0.172,-1.479,-0.796,0.248,1.192,-0.87,-0.032,1,0
0.649,1.914,0.134,-1.674,0.958,2.631,0.913,-0.748,1.62,1.151,1,0
,-1.464,1.859,0.328,0.317,2.153,-1.231,-0.71,-0.281,-0.31,1,0
-0.253,0.777,0.597,2.587,0.342,0.784,-1.405,-0.747,0.746,0.487,1,0
0.382,1.466,-1.829,-0.317,1.057,-1.093,1.263,0.724,-1.21,-0.696,1,0
-0.48,0.619,0.127,-0.439,0.251,-0.239,-1.181,1.035,0.998,1.829,1,0
,-0.013,0.336,-0.124,0.578,-0.217,-0.373,0.397,0.062,-0.582,1,0
,-1.572,0.169,-0.827,1.109,-0.431,-0.132,-0.508,0.721,0.218,1,0
,-1.492,-0.977,0.23,-0.366,-0.42,1.281,-1.018,-1.772,1.269,1,0
,-2.346,-0.073,-0.773,-0.612,-0.646,-0.1,2.389,0.15,0.076,1,0
,-1.157,-1.437,-1.159,-0.044,0.62,0.636,-0.468,1.061,-0.252,1,0
0.007,1.007,0.27,-0.213,0.787,-2.1,1.325,0.616,0.086,0.925,1,0
,-0.16,-0.142,0.06,-1.674,0.418,0.314,-0.364,2.026,0.508,1,0
,-0.713,1.717,-0.838,-0.719,0.814,-0.53,-0.302,-0.629,-0.921,1,0
,-0.171,-0.872,-1.904,1.249,0.937,0.231,-0.984,1.275,0.878,1,0
,-1.581,0.953,-0.272,-0.092,-1.111,-0.292,1.649,0.134,0.81,1,0
-0.47,0.625,0.686,-0.753,0.433,-0.921,-0.65,1.976,0.525,-1.039,1,0
0.476,1.609,-0.257,-1.145,0.867,1.507,1.65,-0.973,-0.233,-0.326,1,0
-0.222,0.801,-0.18,0.454,1.498,-1.627,-0.556,1.857,1.761,-0.069,1,0
,-0.647,1.049,0.425,0.333,0.538,-0.715,-0.782,0.868,0.586,1,0
,-1.166,-0.116,2.174,0.315,2.501,2.084,0.084,-0.923,-1.602,1,0
0.343,1.41,1.722,0.567,-0.559,-0.049,-0.949,1.469,-0.815,0.276,1,0
,-1.027,-0.223,-0.768,0.128,-0.451,-0.06,1.682,1.45,-0.224,1,0
-0.691,0.501,-0.3,-0.6,0.405,-1.988,-0.021,0.006,0.539,-0.423,1,0
,-0.949,-0.286,-0.544,0.197,1.434,-0.089,-0.877,0.431,-0.467,1,0
