expirament,task,transTarg,transform,algomodel,hpGen,time,validmethod,tuneLength,cvcount,unmissed,keyMiss,foldCount,keeprunning,l1combu,sqrdcombu
QSlink3,QSlinks03_95,2,expoTrans,regr.h2o.randomForest,random,11,nohyperparameters,1,5,30,QSlinks03_95expoTrans2QSlink3,1,TRUE,-3.84513,-3.96271
QSlink3,QSlinks14_55,2,expoTrans,gbm,random,30,cv,5,5,23,QSlinks14_55expoTrans2QSlink3,1,TRUE,-3.82813,-4.01171
QSlink3,QSlinks14_55,2,expoTrans,rf,random,14,cv,5,5,22,QSlinks14_55expoTrans2QSlink3,1,TRUE,-3.79113,-3.84419
QSlink3,QSlinks115_60,2,asis,regr.mob,random,1,3,6.2,NA,40,QSlinks115_60asis2QSlink3,1,TRUE,-3.73563,-3.79474
QSlink3,QSlinks115_60,2,YeoJohnson,regr.mob,random,1,3,6.2,NA,40,QSlinks115_60YeoJohnson2QSlink3,1,TRUE,-3.73563,-3.79474
QSlink3,QSlinks115_60,1,range01,regr.mob,random,1,3,6.2,NA,40,QSlinks115_60range011QSlink3,1,TRUE,-3.73363,-3.79195
QSlink3,QSlinks115_60,2,range01,regr.mob,random,1,3,6.2,NA,40,QSlinks115_60range012QSlink3,1,TRUE,-3.73363,-3.79195
QSlink3,QSlinks115_60,1,centernscale,regr.mob,random,1,3,6.2,NA,40,QSlinks115_60centernscale1QSlink3,1,TRUE,-3.73363,-3.79195
QSlink3,QSlinks115_60,2,centernscale,regr.mob,random,1,3,6.2,NA,40,QSlinks115_60centernscale2QSlink3,1,TRUE,-3.73363,-3.79195
QSlink3,QSlinks14_55,2,all,krlsRadial,random,914,3,6.1,NA,23,QSlinks14_55all2QSlink3,1,TRUE,-3.65613,-3.45047
QSlink3,QSlinks03_95,2,expoTrans,regr.h2o.glm,random,10,nohyperparameters,1,5,30,QSlinks03_95expoTrans2QSlink3,1,TRUE,-3.64213,-3.69221
QSlink3,QSlinks14_55,2,all,kernelpls,random,4,3,6.1,NA,23,QSlinks14_55all2QSlink3,1,TRUE,-3.62613,-3.40556
QSlink3,QSlinks14_55,2,all,kknn,random,57,3,6.1,NA,23,QSlinks14_55all2QSlink3,1,TRUE,-3.62413,-3.3897
QSlink3,QSlinks14_55,2,expoTrans,pcr,random,2,cv,5,5,22,QSlinks14_55expoTrans2QSlink3,1,TRUE,-3.61713,-3.50834
QSlink3,QSlinks14_55,2,all,lars2,random,4,3,6.1,NA,23,QSlinks14_55all2QSlink3,1,TRUE,-3.56113,-3.30117
QSlink3,QSlinks14_55,2,all,leapBackward,random,7,3,6.1,NA,11,QSlinks14_55all2QSlink3,1,TRUE,-3.55813,-3.26621
QSlink3,QSlinks14_55,2,all,leapForward,random,3,3,6.1,NA,11,QSlinks14_55all2QSlink3,1,TRUE,-3.53413,-3.2695
